name,caption,lines,connect_rer,connect_tramway,connect_transilien,connect_other,passengers,latitude,longitude,location,min_line
Argentine,,1,,,,,2079212,48.875278,2.290000,"Paris 16th, Paris 17th",1
Bastille,,"1, 5, 8",,,,,8069243,48.853082,2.369077,"Paris 4th, Paris 11th, Paris 12th",1
Bérault,,1,,,,,2106827,48.845278,2.428333,"Saint-Mandé, Vincennes",1
Champs-Élysées—Clemenceau,Grand Palais,"1, 13",,,,,1909005,48.867500,2.313500,Paris 8th,1
Charles de Gaulle—Étoile,,"1, 2, 6",A,,,,4291663,48.873889,2.295000,"Paris 8th, Paris 16th, Paris 17th",1
Château de Vincennes,,1,,,,,3617738,48.844444,2.440000,"Paris 12th, Vincennes",1
Châtelet,,"1, 4, 7, 11, 14","A, B, D",,,,8350794,48.858352,2.347324,"Paris 1st, Paris 4th",1
Concorde,,"1, 8, 12",,,,,3401219,48.865410,2.321110,Paris 1st,1
Esplanade de La Défense,,1,,,,,4708183,48.888333,2.250000,"Courbevoie, Puteaux",1
Franklin D. Roosevelt,,"1, 9",,,,,6173830,48.868977,2.309890,Paris 8th,1
Gare de Lyon,,"1, 14","A, D",,R,"TGV, TGV Lyria, Renfe-SNCF, OUIGO, Frecciarossa",28640475,48.844722,2.373889,Paris 12th,1
George V,,1,,,,,3842260,48.871944,2.300556,Paris 8th,1
Hôtel de Ville,,"1, 11",,,,,7251729,48.857487,2.351525,Paris 4th,1
La Défense,Grande Arche,1,"A, E",T2,"L, U",,9256802,48.891852,2.238539,Puteaux,1
Les Sablons,Jardin d'Acclimatation,1,,,,,3954920,48.880833,2.272222,Neuilly-sur-Seine,1
Louvre—Rivoli,,1,,,,,1869612,48.861080,2.340283,Paris 1st,1
Nation,,"1, 2, 6, 9",A,,,,6050797,48.848333,2.395833,"Paris 11th, Paris 12th",1
Palais Royal–Musée du Louvre,,"1, 7",,,,,4822599,48.862644,2.336578,Paris 1st,1
Pont de Neuilly,,1,,,,,4809503,48.885000,2.259722,Neuilly-sur-Seine,1
Porte de Vincennes,,1,,"T3a, T3b",,,5446602,48.847326,2.407759,"Paris 12th, Paris 20th",1
Porte Maillot,Palais des Congrès,1,C,,,,4138301,48.878056,2.281944,"Paris 16th, Paris 17th",1
Reuilly—Diderot,,"1, 8",,,,,4580091,48.846944,2.386389,Paris 12th,1
Saint-Mandé,,1,,,,,3944640,48.846111,2.418889,Saint-Mandé,1
Saint-Paul,Le Marais,1,,,,,4295823,48.855214,2.360859,Paris 4th,1
Tuileries,,1,,,,,1859552,48.864531,2.329617,Paris 1st,1
Alexandre Dumas,,2,,,,,2476608,48.855907,2.394790,"Paris 11th, Paris 20th",2
Anvers,Sacré-Cœur,2,,,,Funiculaire de Montmartre,3420749,48.883007,2.344849,"Paris 9th, Paris 18th",2
Avron,,2,,,,,1345521,48.851940,2.397863,Paris 11th,2
Barbès—Rochechouart,,"2, 4",,,,,5390939,48.883611,2.350556,"Paris 9th, Paris 10th, Paris 18th",2
Belleville,,"2, 11",,,,,7314438,48.872083,2.376947,Paris 10th,2
Blanche,,2,,,,,2167570,48.883459,2.333703,Paris 9th,2
Colonel Fabien,,2,,,,,3043606,48.877136,2.371160,Paris 10th,2
Courcelles,,2,,,,,1583429,48.879167,2.304167,"Paris 8th, Paris 17th",2
Couronnes,,2,,,,,2151515,48.869521,2.379861,"Paris 11th, Paris 20th",2
Jaurès,,"2, 5, 7bis",,,,,4055461,48.882920,2.370670,"Paris 10th, Paris 19th",2
La Chapelle,,2,"B, D, E",,"H, K","TGV, TER, Eurostar",4855531,48.884411,2.360288,"Paris 10th, Paris 18th",2
Ménilmontant,,2,,,,,2847264,48.866248,2.383618,"Paris 11th, Paris 20th",2
Monceau,,2,,,,,1148677,48.880000,2.308333,"Paris 8th, Paris 17th",2
Père Lachaise,,"2, 3",,,,,3465307,48.862921,2.387388,"Paris 11th, Paris 20th",2
Philippe Auguste,,2,,,,,1262653,48.858021,2.390938,"Paris 11th, Paris 20th",2
Pigalle,,"2, 12",,,,,3501831,48.882255,2.337573,"Paris 9th, Paris 18th",2
Place de Clichy,,"2, 13",,,,,5161932,48.883889,2.327500,"Paris 8th, Paris 9th, Paris 17th, Paris 18th",2
Porte Dauphine,,2,C,,,,2021656,48.871390,2.276670,Paris 16th,2
Rome,,2,,,,,1696331,48.882425,2.322052,"Paris 8th, Paris 17th",2
Stalingrad,,"2, 5, 7",,,,,4924583,48.884290,2.365860,"Paris 10th, Paris 19th",2
Ternes,,2,,,,,2292256,48.877778,2.298611,"Paris 8th, Paris 17th",2
Victor Hugo,,2,,,,,2801041,48.869720,2.285000,Paris 16th,2
Villiers,,"2, 3",,,,,3586376,48.881130,2.314867,"Paris 8th, Paris 17th",2
Anatole France,,3,,,,,2311825,48.892022,2.285536,Levallois-Perret,3
Arts et Métiers,,"3, 11",,,,,2403042,48.865500,2.356100,Paris 3rd,3
Bourse,,3,,,,,1725043,48.868738,2.341370,Paris 2nd,3
Europe,,3,,,,,1106459,48.878821,2.322380,Paris 8th,3
Gallieni,Parc de Bagnolet,3,,,,,3899195,48.863500,2.415780,Bagnolet,3
Gambetta,,3,,,,,4796724,48.864947,2.398451,Paris 20th,3
Havre—Caumartin,,"3, 9","A, E",,,,5894982,48.873465,2.327968,Paris 9th,3
Louise Michel,,3,,,,,2319185,48.889273,2.288073,Levallois-Perret,3
Malesherbes,,3,,,,,1427143,48.882476,2.311002,Paris 17th,3
Opéra,,"3, 7, 8",A,,,,5193831,48.870636,2.332353,"Paris 2nd, Paris 9th",3
Parmentier,,3,,,,,2037234,48.865299,2.374381,Paris 11th,3
Pereire,,3,C,,,,3130190,48.884648,2.299211,Paris 17th,3
Pont de Levallois—Bécon,,3,,,,,2984777,48.897313,2.280787,Levallois-Perret,3
Porte de Bagnolet,,3,,T3b,,,3085790,48.864565,2.407278,Paris 20th,3
Porte de Champerret,,3,,,,,2101673,48.885851,2.293487,Paris 17th,3
Quatre-Septembre,,3,,,,,1165004,48.869574,2.336633,Paris 2nd,3
Réaumur—Sébastopol,,"3, 4",,,,,3579544,48.866111,2.352500,"Paris 2nd, Paris 3rd",3
République,,"3, 5, 8, 9, 11",,,,,11079708,48.867503,2.363811,"Paris 3rd, Paris 10th, Paris 11th",3
Rue Saint-Maur,,3,,,,,2004445,48.864335,2.379448,Paris 11th,3
Saint-Lazare,,"3, 12, 13, 14",E,,"J, L","TGV, TER, Intercités",33128384,48.875490,2.326640,"Paris 8th, Paris 9th",3
Sentier,,3,,,,,2222744,48.867600,2.346400,Paris 2nd,3
Temple,,3,,,,,891858,48.866488,2.360595,Paris 3rd,3
Wagram,,3,,,,,1508617,48.884057,2.303668,Paris 17th,3
Pelleport,,3bis,,,,,229524,48.868671,2.401752,Paris 20th,3.5
Porte des Lilas,,"3bis, 11",,T3b,,,3105016,48.877183,2.406655,"Paris 19th, Paris 20th",3.5
Saint-Fargeau,,3bis,,,,,472258,48.872083,2.404520,Paris 20th,3.5
Alésia,,4,,,,,3098136,48.828333,2.326667,Paris 14th,4
Bagneux—Lucie Aubrac,,4,,,,,,48.802700,2.317300,Bagneux,4
Barbara,,4,,,,,,48.809200,2.317600,"Montrouge, Bagneux",4
Château d'Eau,,4,,,,,2687103,48.872778,2.356111,Paris 10th,4
Château Rouge,,4,,,,,5841122,48.886667,2.349444,Paris 18th,4
Cité,,4,,,,,1004657,48.855278,2.346389,Paris 4th,4
Denfert-Rochereau,,"4, 6",B,,,,2543959,48.833901,2.332728,Paris 14th,4
Étienne Marcel,,4,,,,,1705639,48.864167,2.350556,Paris 1st,4
Gare de l'Est,,"4, 5, 7",,,P,"TGV, TER, OUIGO, Nightjet",15538471,48.876111,2.358333,Paris 10th,4
Gare du Nord,,"4, 5","B, D, E",,"H, K","TGV, TER, Thalys, Eurostar",34503097,48.880556,2.355000,Paris 10th,4
Les Halles,,4,"A, B, D",,,,10623876,48.862500,2.346110,Paris 1st,4
Mairie de Montrouge,,4,,,,,4316647,48.818430,2.319530,Montrouge,4
Marcadet—Poissonniers,,"4, 12",,,,,3982005,48.890278,2.350000,Paris 18th,4
Montparnasse—Bienvenüe,,"4, 6, 12, 13",,,N,"TGV, TER, Intercités, OUIGO",20407224,48.843466,2.323072,"Paris 6th, Paris 14th, Paris 15th",4
Mouton-Duvernet,,4,,,,,1131403,48.832139,2.330325,Paris 14th,4
Odéon,,"4, 10",,,,,3478491,48.851944,2.338889,Paris 6th,4
Porte d'Orléans,,4,,T3a,,,4175817,48.823189,2.325364,Paris 14th,4
Porte de Clignancourt,Puces de Saint-Ouen,4,,T3b,,,5611814,48.896944,2.345000,Paris 18th,4
Raspail,,"4, 6",,,,,1238357,48.839194,2.330606,Paris 14th,4
Saint-Germain-des-Prés,,4,,,,,2378860,48.853889,2.333333,Paris 6th,4
Saint-Michel,,4,"B, C",,,,3747385,48.853611,2.343889,"Paris 5th, Paris 6th",4
Saint-Placide,,4,,,,,2391205,48.846844,2.326914,Paris 6th,4
Saint-Sulpice,,4,,,,,1571987,48.850909,2.330652,Paris 6th,4
Simplon,,4,,,,,2056501,48.893333,2.348333,Paris 18th,4
Strasbourg—Saint-Denis,,"4, 8, 9",,,,,6345770,48.869722,2.353889,"Paris 2nd, Paris 3rd, Paris 10th",4
Vavin,,4,,,,,1322588,48.842233,2.328950,"Paris 6th, Paris 14th",4
Bobigny—Pablo Picasso,Préfecture—Hôtel du Département,5,,T1,,,6561327,48.906538,2.449994,Bobigny,5
Bobigny—Pantin—Raymond Queneau,,5,,,,,2335465,48.895000,2.425000,Bobigny,5
Bréguet—Sabin,,5,,,,,1490160,8.856000,2.370000,Paris 11th,5
Campo Formio,,5,,,,,1016150,48.835000,2.358000,Paris 13th,5
Église de Pantin,,5,,,,,2832467,48.894000,2.413000,Pantin,5
Gare d'Austerlitz,,"5, 10",C,,,"TGV, TER, Intercités",6318543,48.842626,2.364971,Paris 13th,5
Hoche,,5,,,,,3928404,48.891000,2.403000,Pantin,5
Jacques Bonsergent,,5,,,,,1743989,48.871000,2.361000,Paris 10th,5
Laumière,,5,,,,,3258568,48.885000,2.379000,Paris 19th,5
Oberkampf,,"5, 9",,,,,3205110,48.863500,2.370250,Paris 11th,5
Ourcq,,5,,,,,2862337,48.887000,2.386000,Paris 19th,5
Place d'Italie,,"5, 6, 7",,,,,7119097,48.831483,2.355692,Paris 13th,5
Porte de Pantin,Parc de la Villette,5,,T3b,,,3374733,48.889710,2.396290,Paris 19th,5
Quai de la Rapée,,5,,,,,798728,48.846000,2.366000,Paris 12th,5
Richard-Lenoir,,5,,,,,1544636,48.860000,2.372000,Paris 11th,5
Saint-Marcel,,5,,,,,1666744,48.838000,2.360000,Paris 13th,5
Bel-Air,,6,,,,,1605573,48.841344,2.400912,Paris 12th,6
Bercy,,"6, 14",,,,"TER, Intercités",3884212,48.839930,2.380418,Paris 12th,6
Bir-Hakeim,Tour Eiffel,6,C,,,,3362908,48.853917,2.289332,Paris 15th,6
Boissière,,6,,,,,1224181,48.867386,2.290392,Paris 16th,6
Cambronne,,6,,,,,1636566,48.847537,2.302937,Paris 15th,6
Chevaleret,,6,,,,,2748696,48.834938,2.368082,Paris 13th,6
Corvisart,,6,,,,,1570331,48.829807,2.350508,Paris 13th,6
Daumesnil,,"6, 8",,,,,3634023,48.839644,2.395792,Paris 12th,6
Dugommier,,6,,,,,1725412,48.839050,2.389964,Paris 12th,6
Dupleix,,6,,,,,2028963,48.850392,2.293611,Paris 15th,6
Edgar Quinet,,6,,,,,1349178,48.841048,2.325084,Paris 14th,6
Glacière,,6,,,,,3005750,48.831150,2.343384,Paris 13th,6
Kléber,,6,,,,,724215,48.871138,2.293118,Paris 16th,6
La Motte-Picquet—Grenelle,,"6, 8, 10",,,,,5117708,48.849143,2.298090,Paris 15th,6
Nationale,,6,,,,,1320290,48.833183,2.362718,Paris 13th,6
Passy,,6,,,,,2080548,48.857445,2.285779,Paris 16th,6
Pasteur,,"6, 12",,,,,3026286,48.842836,2.312681,Paris 15th,6
Picpus,,6,,,,,931602,48.845150,2.400494,Paris 12th,6
Quai de la Gare,,6,,,,,1735465,48.837069,2.372773,Paris 13th,6
Saint-Jacques,,6,,,,,1407837,48.832913,2.337081,Paris 14th,6
Sèvres—Lecourbe,,6,,,,,1257040,48.845634,2.309476,Paris 15th,6
Trocadéro,,"6, 9",,,,,5284134,48.863301,2.287061,Paris 16th,6
Aubervilliers—Pantin—Quatre Chemins,,7,,,,,5616435,48.903900,2.392500,Aubervilliers,7
Cadet,,7,,,,,1843984,48.876135,2.344876,Paris 9th,7
Censier—Daubenton,,7,,,,,2291843,48.840597,2.351774,Paris 5th,7
Château-Landon,,7,,,P,"TGV, TER",1140353,48.878460,2.362071,Paris 10th,7
Chaussée d'Antin—La Fayette,,"7, 9",,,,,4251916,48.873070,2.333930,Paris 9th,7
Corentin Cariou,,7,,,,,1697076,48.894340,2.381745,Paris 19th,7
Crimée,,7,,,,,3543952,48.891580,2.377070,Paris 19th,7
Fort d'Aubervilliers,,7,,,,,3103518,48.914240,2.403785,Aubervilliers,7
Jussieu,,"7, 10",,,,,2889642,48.846052,2.355738,Paris 5th,7
La Courneuve—8 Mai 1945,,7,,T1,,,4924444,48.920777,2.410668,La Courneuve,7
Le Kremlin—Bicêtre,,7,,,,,2925325,48.810388,2.361849,Le Kremlin-Bicêtre,7
Le Peletier,,7,,,,,1677832,48.874720,2.339550,Paris 9th,7
Les Gobelins,,7,,,,,2365942,48.836400,2.352250,"Paris 5th, Paris 13th",7
Louis Blanc,,7,,,,,1548029,48.881137,2.364839,Paris 10th,7
Mairie d'Ivry,,7,,,,,2042071,48.811120,2.383390,Ivry-sur-Seine,7
Maison Blanche,,"7, 14",,,,,1203631,48.822155,2.358531,Paris 13th,7
Pierre et Marie Curie,,7,,,,,1100552,48.815920,2.377890,Ivry-sur-Seine,7
Place Monge,Jardin des Plantes—Arènes de Lutèce,7,,,,,1837996,48.843590,2.352279,Paris 5th,7
Poissonnière,,7,,,,,2306725,48.877080,2.348450,"Paris 9th, Paris 10th",7
Pont Marie,Cité des Arts,7,,,,,1101482,48.853290,2.357620,Paris 4th,7
Pont Neuf,,7,,,,,1188930,48.858680,2.341490,Paris 1st,7
