lang_name,no_table_data_text
af,Tabel bevat geen data
agq,Taa yi nji nchuu mbi
ak,Table nya data
am,ታቦት ምንም መረጃ የሉም
ar,الجدول لا يحتوي على بيانات
as,টেবিলত কোনো তথ্য নাই
asa,Jedwali halina data
ast,La tabla nun tien datos
az,Cədvəldə məlumat yoxdur
bas,Nyini na seŋa
be,Табліца не змяшчае дадзеных
bem,Teyabulo tabo
bez,Komeza hakuna data
bg,Таблицата няма данни
bm,La table est vide
bn,টেবিলে কোন তথ্য নেই
bo,ཐིག་ཁྲམ་གཅིག་མ་གཏོགས།
br,N'eus ket titouroù eus ar stlenn
brx,खुणखुणीयां मूल्य नाहीं
bs,Tabela nema podataka
ca,La taula no té dades
ccp,टेबल मैं कोण डेटा नहीं हैं
ce,ХӀажар не ю рай
ceb,Walay datos ang lamesa
cgg,Tebuula terina obutatizi
chr,ᏕᏓᏁᎸᎢ ᎠᏎᏢᎢ
ck,خشتەی سەرجەم داتا نییە
cs,Tabulka neobsahuje žádná data
cy,Nid oes data ar y tabl
da,Tabellen indeholder ingen data
dav,Meza hauna data
de,Die Tabelle enthält keine Daten
dje,L'etableau n'a pas de donnees
doi,टेबल में कोई डेटा नहीं हैं
dsb,Tabulka njema datow
dua,Taebl nuna njoŋ
dyo,Tabal yi dëkkal
dz,ཐིག་ཁྲམ་འདི་གཅིག་མ་ཡིན་པའི་ཡོད་པའི་ཚད་གཞི་འདུག
ebu,Kuna hayo ya kwenye jedwali
ee,Table nyi nɔlɔi nutifafa
el,Ο πίνακας δεν περιέχει δεδομένα
en,Table has no data
eo,La tabelo ne enhavas datumojn
es,La tabla no tiene datos
et,Tabelis pole andmeid
eu,Taulak ez du daturik
ewo,Ngandi ñe table môan nja
fa,جدول داده‌ای ندارد
ff,Tabal yi maa joxo
fi,Taulukko ei sisällä tietoja
fil,Walang datos ang lamesa
fo,Taflan er tóm
fr,Le tableau ne contient pas de données
fur,La tabel no à datis
fy,De tabel hat gjin gegevens
ga,Níl aon sonraí sa tábla
gd,Cha chòrd e ris gu bheil aon dhàta anns an taigh-staile
gl,A táboa non ten datos
gsw,D'Tabelle het kaii Date
gu,ટેબલમાં કોઈ ડેટા નથી
guz,Meza haina data
gv,Cha nel d'dhatayn ayns y thie-tashtey
ha,Tabil yana da bayanai
haw,ʻAʻole loaʻa ka papaʻōlelo
he,הטבלה לא מכילה נתונים
hi,तालिका में कोई डेटा नहीं है
hr,Tablica nema podataka
hsb,Tabela njema datow
hu,Az asztal nem tartalmaz adatokat
hy,Աղյուսակը չի պարունակում տվյալներ
ia,Le tabella non ha datos
id,Tabel tidak ada data
ig,Tèbulụ enweghị data
ii,ᎠᏎᏢᏒ ᎠᏎᏢᏒᎢ
is,Taflan er tómt
it,La tabella non ha dati
ja,テーブルにデータがありません
jgo,Table na kwə nyama ndəm
jmc,Jedwali halina data
jv,Tabel ora ana data
ka,ცხრილში არ არის მონაცემები
kab,Amezruy i d-yellan ara n yimyurar
kam,Kweetera hakuna data
kde,Jedwali halina data
kea,Mesa kê sta dadu
kgp,Tablii ma ka ne
khq,La tabale n'a pas de donné
ki,Meza ni wendo
kk,Кесте деректерді қамтылмайды
kkj,La table n'a pas de données
kl,Tavip ineqqarsimasoq
kln,Tepililishi tilaata
km,តារាងគ្មានទិន្នន័យ
kn,ಟೇಬಲ್ ಯಲ್ಲಿ ಯಾವುದೇ ಡೇಟಾ ಇಲ್ಲ
ko,테이블에 데이터가 없습니다
kok,तालिकेत कोणताही डेटा नाही
ks,ٹيبل مے کان ڈيٹا ناهیں
ksb,Jedwali halina data
ksf,La table n'a pas de données
ksh,Dä Taffel hät kääne Daten
ku,Tabloya daneyên tên xuyanî kirin tune ye
kw,Nyns eus data yn y tabel
ky,Жадыба даталарды көрсөтпөйт
lag,Jedwali halina data
lb,D'Tabel enthält keng Donnéeën
lg,Tebulu tezikola
lkt,Máza yašté yeló
ln,Table ezali mabé
lo,ຕາແມັດບໍ່ມີຂໍ້ມູນ
lr,کورته‌ی داتا نییه
lt,Lentelėje nėra duomenų
lu,Tábulu tèkèlè
luo,Nyakalaga nyinge kendo
luy,Kahawa ina data
lv,Tabulā nav datu
mai,टेबल में कोई डेटा नहीं है
mas,Meza ina data
mer,Teibolu hauna data
mfe,Tab-la pa kontan okenn done
mg,Tsy misy angona ao amin'ny tabilao
mgh,Meza hauna data
mgo,Ndolèli ya kudatamo
mi,Kaore he raraunga i roto i te ripanga
mk,Табелата нема податоци
ml,ടേബിളിൽ ഡാറ്റ ഇല്ല
mn,Хүснэгт мэдээлэл алга
mni,টেবিলত নিঙালা নাইবে
mr,टेबलमध्ये डेटा नाही
ms,Tiada data dalam jadual
mt,It-tabella m'għandhiex data
mua,Meza hauna data
my,ဇယားတစ်ခုကိုဒေတာများမရှိသောအခါ
mzn,جدول شونده دادی نیست
naq,Table ha nawa nawa
nb,Tabellen inneholder ingen data
nd,Ithabhulohayina idatha
nds,De Tabelle hett keen Date
ne,तालिकामा कुनै डाटा छैन
nl,Tabel bevat geen gegevens
nmg,Latabilya alatsaham-pifidianana
nn,Tabellen inneheld ingen data
nnh,La table n'a pas de données
no,Tabellen inneholder ingen data
nus,Table apenyo wou
nyn,Tepililoni si haba data
om,Miidhaan waliin walitti qaban
or,ଟେବଲରେ କୋଣାଣ୍ଟି ତଥ୍ୟ ନାହିଁ
os,Таблицæ фæстæ дæртæ нæйы
pa,ਟੇਬਲ ਵਿੱਚ ਕੋਈ ਡਾਟਾ ਨਹੀਂ ਹੈ
pcm,Tabu No Get Data
pl,Brak danych w tabeli
ps,د جدول ته معلومات نشته
pt,A tabela não tem dados
qu,Muk'unaqaqa lliwtaqa kani
rm,La tabella na duai datis
rn,Teyiburu ntibaho
ro,Tabelul nu conține date
rof,Meza hauna data
ru,В таблице нет данных
rw,Tabeli ntibaho
rwk,Tabela haina data
sa,तालिकाम् अपि अभावात्
sah,Хөтөлбөр иһинээҕитин көрдөрбөтө
saq,Komeza hakuna data
sat,ᱟᱨᱤ ᱟᱨᱦᱮᱨ ᱯᱟᱹᱠᱟᱜ ᱠᱟᱹᱠᱤᱠᱞ
sbp,Jedwali halina data
sc,Taula b'at datu
sd,ٽيبل کان ڊيٽا ناهي
se,Tabellii lea ealáhusat
seh,Meza hauna data
ses,Mezene kaa ala hoori.
sg,Tableau ti ngué ti yé.
si,ටේබලයේ දත්ත නොමැතිවිය නොහැකි අතර වගුවක් නොමැත
sk,Tabuľka neobsahuje žiadne dáta
sl,Tabela nima podatkov
smn,Taula eai leat datáid
sn,Table haina data
so,Maafeysiga ma jiro calaamadaha
sq,Tabela nuk ka të dhëna
sr,Табела нема података
su,Tabel henteu na data
sv,Tabellen har ingen data
sw,Jedwali haina data yoyote
ta,அட்டவசரம் தரவு இல்லை
te,టేబుల్ లో డేటా లేదు
teo,Komeza hakuna data
tg,Ҷадвали маълумот дорад
th,ตารางไม่มีข้อมูล
ti,ታቦል ምንም መረጃ አይደለም
tk,Jadygöniň içinde maglumat ýok
to,Tebile 'ikai ha 'osi
tr,Tabloda veri yok
tt,Күрәк йоклаулары юк
twq,Table ndi saaɗa tawɛ
tzm,ⵜⴰⴱⴷⴷⴰⵍⵜ ⵓⵔⵏⵓ ⵢⵓⵏⵓ
ug,جەدۋەلدە ئۇچۇر يوق
uk,У таблиці немає даних
und,Table has no data
ur,خانہ کوئی ڈیٹا نہیں ہے
uz,Jadvallikda ma'lumot yo'q
vai,ꕉꕜ ꕶꕱꕆꕌ ꕮꕊꕯꕆ ꔻꕆ ꕢꕴꔹꕆ
vi,Bảng không có dữ liệu
vun,Meza hauna data
wae,Täfelä han kei Daten
wo,Tabal yi am nañu defar
xh,Iteybheli ayinakho okanye akukho data
xog,Tebuluune haana data
yav,Nyem tavlo da nyem ngyet
yi,טייבל האט קיין דאטן
yo,Tabili kò lè ṣe dátà
yrl,Table has no data
yue,表冇數據
zgh,الجدول ماكاينش داتا
zh,表格没有数据
zu,Akukho data engekho kwezitolo
  ,