latitude,month,tst,sza
20.0,jan,0400,NA
20.0,jan,0430,NA
20.0,jan,0500,NA
20.0,jan,0530,NA
20.0,jan,0600,NA
20.0,jan,0630,NA
20.0,jan,0700,84.9
20.0,jan,0730,78.7
20.0,jan,0800,72.7
20.0,jan,0830,66.1
20.0,jan,0900,61.5
20.0,jan,0930,56.5
20.0,jan,1000,52.1
20.0,jan,1030,48.3
20.0,jan,1100,45.5
20.0,jan,1130,43.6
20.0,jan,1200,43.0
20.0,feb,0400,NA
20.0,feb,0430,NA
20.0,feb,0500,NA
20.0,feb,0530,NA
20.0,feb,0600,NA
20.0,feb,0630,88.9
20.0,feb,0700,82.5
20.0,feb,0730,75.8
20.0,feb,0800,69.6
20.0,feb,0830,63.3
20.0,feb,0900,57.7
20.0,feb,0930,52.2
20.0,feb,1000,47.4
20.0,feb,1030,43.1
20.0,feb,1100,40.0
20.0,feb,1130,37.8
20.0,feb,1200,37.2
20.0,mar,0400,NA
20.0,mar,0430,NA
20.0,mar,0500,NA
20.0,mar,0530,NA
20.0,mar,0600,NA
20.0,mar,0630,85.7
20.0,mar,0700,78.8
20.0,mar,0730,72.0
20.0,mar,0800,65.2
20.0,mar,0830,58.6
20.0,mar,0900,52.3
20.0,mar,0930,46.2
20.0,mar,1000,40.5
20.0,mar,1030,35.5
20.0,mar,1100,31.4
20.0,mar,1130,28.6
20.0,mar,1200,27.7
20.0,apr,0400,NA
20.0,apr,0430,NA
20.0,apr,0500,NA
20.0,apr,0530,NA
20.0,apr,0600,88.5
20.0,apr,0630,81.5
20.0,apr,0700,74.4
20.0,apr,0730,67.4
20.0,apr,0800,60.3
20.0,apr,0830,53.4
20.0,apr,0900,46.5
20.0,apr,0930,39.7
20.0,apr,1000,33.2
20.0,apr,1030,26.9
20.0,apr,1100,21.3
20.0,apr,1130,17.2
20.0,apr,1200,15.5
20.0,may,0400,NA
20.0,may,0430,NA
20.0,may,0500,NA
20.0,may,0530,NA
20.0,may,0600,85.0
20.0,may,0630,78.2
20.0,may,0700,71.2
20.0,may,0730,64.3
20.0,may,0800,57.2
20.0,may,0830,50.2
20.0,may,0900,43.2
20.0,may,0930,36.1
20.0,may,1000,29.1
20.0,may,1030,26.1
20.0,may,1100,15.2
20.0,may,1130,8.8
20.0,may,1200,5.0
20.0,jun,0400,NA
20.0,jun,0430,NA
20.0,jun,0500,NA
20.0,jun,0530,89.2
20.0,jun,0600,82.7
20.0,jun,0630,76.0
20.0,jun,0700,69.3
20.0,jun,0730,62.5
20.0,jun,0800,55.7
20.0,jun,0830,48.8
20.0,jun,0900,41.9
20.0,jun,0930,35.0
20.0,jun,1000,28.1
20.0,jun,1030,21.1
20.0,jun,1100,14.2
20.0,jun,1130,7.3
20.0,jun,1200,2.0
20.0,jul,0400,NA
20.0,jul,0430,NA
20.0,jul,0500,NA
20.0,jul,0530,88.8
20.0,jul,0600,82.3
20.0,jul,0630,75.7
20.0,jul,0700,69.1
20.0,jul,0730,62.3
20.0,jul,0800,55.5
20.0,jul,0830,48.7
20.0,jul,0900,41.8
20.0,jul,0930,35.0
20.0,jul,1000,28.1
20.0,jul,1030,21.2
20.0,jul,1100,14.3
20.0,jul,1130,7.7
20.0,jul,1200,3.1
20.0,aug,0400,NA
20.0,aug,0430,NA
20.0,aug,0500,NA
20.0,aug,0530,NA
20.0,aug,0600,83.8
20.0,aug,0630,77.1
20.0,aug,0700,70.2
20.0,aug,0730,63.3
20.0,aug,0800,56.4
20.0,aug,0830,49.4
20.0,aug,0900,42.4
20.0,aug,0930,35.4
20.0,aug,1000,28.3
20.0,aug,1030,21.3
20.0,aug,1100,14.3
20.0,aug,1130,7.3
20.0,aug,1200,1.9
20.0,sep,0400,NA
20.0,sep,0430,NA
20.0,sep,0500,NA
20.0,sep,0530,NA
20.0,sep,0600,87.2
20.0,sep,0630,80.2
20.0,sep,0700,73.2
20.0,sep,0730,66.1
20.0,sep,0800,59.1
20.0,sep,0830,52.1
20.0,sep,0900,45.1
20.0,sep,0930,38.1
20.0,sep,1000,31.3
20.0,sep,1030,24.7
20.0,sep,1100,18.6
20.0,sep,1130,13.7
20.0,sep,1200,11.6
20.0,oct,0400,NA
20.0,oct,0430,NA
20.0,oct,0500,NA
20.0,oct,0530,NA
20.0,oct,0600,NA
20.0,oct,0630,84.1
20.0,oct,0700,77.1
20.0,oct,0730,70.2
20.0,oct,0800,63.3
20.0,oct,0830,56.5
20.0,oct,0900,49.9
20.0,oct,0930,43.5
20.0,oct,1000,37.5
20.0,oct,1030,32.0
20.0,oct,1100,27.4
20.0,oct,1130,24.3
20.0,oct,1200,23.1
20.0,nov,0400,NA
20.0,nov,0430,NA
20.0,nov,0500,NA
20.0,nov,0530,NA
20.0,nov,0600,NA
20.0,nov,0630,87.8
20.0,nov,0700,81.3
20.0,nov,0730,74.5
20.0,nov,0800,68.3
20.0,nov,0830,61.8
20.0,nov,0900,56.0
20.0,nov,0930,50.2
20.0,nov,1000,45.3
20.0,nov,1030,40.7
20.0,nov,1100,37.4
20.0,nov,1130,35.1
20.0,nov,1200,34.4
20.0,dec,0400,NA
20.0,dec,0430,NA
20.0,dec,0500,NA
20.0,dec,0530,NA
20.0,dec,0600,NA
20.0,dec,0630,NA
20.0,dec,0700,84.3
20.0,dec,0730,78.0
20.0,dec,0800,71.8
20.0,dec,0830,66.1
20.0,dec,0900,60.5
20.0,dec,0930,55.6
20.0,dec,1000,50.9
20.0,dec,1030,47.2
20.0,dec,1100,44.2
20.0,dec,1130,42.4
20.0,dec,1200,41.8
30.0,jan,0400,NA
30.0,jan,0430,NA
30.0,jan,0500,NA
30.0,jan,0530,NA
30.0,jan,0600,NA
30.0,jan,0630,NA
30.0,jan,0700,89.4
30.0,jan,0730,83.7
30.0,jan,0800,78.3
30.0,jan,0830,73.2
30.0,jan,0900,68.4
30.0,jan,0930,64.1
30.0,jan,1000,60.4
30.0,jan,1030,57.3
30.0,jan,1100,55.0
30.0,jan,1130,53.5
30.0,jan,1200,53.0
30.0,feb,0400,NA
30.0,feb,0430,NA
30.0,feb,0500,NA
30.0,feb,0530,NA
30.0,feb,0600,NA
30.0,feb,0630,NA
30.0,feb,0700,86.2
30.0,feb,0730,80.3
30.0,feb,0800,74.6
30.0,feb,0830,69.1
30.0,feb,0900,64.1
30.0,feb,0930,59.4
30.0,feb,1000,55.3
30.0,feb,1030,51.9
30.0,feb,1100,49.3
30.0,feb,1130,47.7
30.0,feb,1200,47.2
30.0,mar,0400,NA
30.0,mar,0430,NA
30.0,mar,0500,NA
30.0,mar,0530,NA
30.0,mar,0600,NA
30.0,mar,0630,87.5
30.0,mar,0700,81.1
30.0,mar,0730,74.9
30.0,mar,0800,68.8
30.0,mar,0830,62.9
30.0,mar,0900,57.4
30.0,mar,0930,52.2
30.0,mar,1000,47.5
30.0,mar,1030,43.5
30.0,mar,1100,40.3
30.0,mar,1130,38.4
30.0,mar,1200,37.7
30.0,apr,0400,NA
30.0,apr,0430,NA
30.0,apr,0500,NA
30.0,apr,0530,NA
30.0,apr,0600,87.2
30.0,apr,0630,81.4
30.0,apr,0700,74.9
30.0,apr,0730,68.5
30.0,apr,0800,62.1
30.0,apr,0830,55.8
30.0,apr,0900,49.6
30.0,apr,0930,43.8
30.0,apr,1000,38.2
30.0,apr,1030,33.3
30.0,apr,1100,29.3
30.0,apr,1130,26.5
30.0,apr,1200,25.5
30.0,may,0400,NA
30.0,may,0430,NA
30.0,may,0500,NA
30.0,may,0530,88.9
30.0,may,0600,82.7
30.0,may,0630,76.3
30.0,may,0700,69.9
30.0,may,0730,63.4
30.0,may,0800,56.9
30.0,may,0830,50.4
30.0,may,0900,44.0
30.0,may,0930,37.6
30.0,may,1000,31.4
30.0,may,1030,25.6
30.0,may,1100,20.4
30.0,may,1130,16.5
30.0,may,1200,15.0
30.0,jun,0400,NA
30.0,jun,0430,NA
30.0,jun,0500,NA
30.0,jun,0530,85.3
30.0,jun,0600,79.2
30.0,jun,0630,73.1
30.0,jun,0700,66.8
30.0,jun,0730,60.4
30.0,jun,0800,54.0
30.0,jun,0830,47.5
30.0,jun,0900,41.0
30.0,jun,0930,34.5
30.0,jun,1000,28.1
30.0,jun,1030,21.7
30.0,jun,1100,15.7
30.0,jun,1130,10.5
30.0,jun,1200,8.0
30.0,jul,0400,NA
30.0,jul,0430,NA
30.0,jul,0500,NA
30.0,jul,0530,84.7
30.0,jul,0600,78.7
30.0,jul,0630,72.5
30.0,jul,0700,66.3
30.0,jul,0730,60.0
30.0,jul,0800,53.5
30.0,jul,0830,47.1
30.0,jul,0900,40.6
30.0,jul,0930,34.1
30.0,jul,1000,27.7
30.0,jul,1030,21.2
30.0,jul,1100,15.1
30.0,jul,1130,9.6
30.0,jul,1200,6.9
30.0,aug,0400,NA
30.0,aug,0430,NA
30.0,aug,0500,NA
30.0,aug,0530,87.2
30.0,aug,0600,81.0
30.0,aug,0630,74.7
30.0,aug,0700,68.3
30.0,aug,0730,61.9
30.0,aug,0800,55.4
30.0,aug,0830,48.9
30.0,aug,0900,42.4
30.0,aug,0930,36.0
30.0,aug,1000,29.7
30.0,aug,1030,23.6
30.0,aug,1100,18.1
30.0,aug,1130,13.7
30.0,aug,1200,11.9
30.0,sep,0400,NA
30.0,sep,0430,NA
30.0,sep,0500,NA
30.0,sep,0530,NA
30.0,sep,0600,85.9
30.0,sep,0630,79.4
30.0,sep,0700,72.9
30.0,sep,0730,66.4
30.0,sep,0800,60.0
30.0,sep,0830,53.6
30.0,sep,0900,47.3
30.0,sep,0930,41.2
30.0,sep,1000,35.5
30.0,sep,1030,30.2
30.0,sep,1100,25.8
30.0,sep,1130,22.8
30.0,sep,1200,21.6
30.0,oct,0400,NA
30.0,oct,0430,NA
30.0,oct,0500,NA
30.0,oct,0530,NA
30.0,oct,0600,NA
30.0,oct,0630,85.1
30.0,oct,0700,78.7
30.0,oct,0730,72.4
30.0,oct,0800,66.2
30.0,oct,0830,60.1
30.0,oct,0900,54.4
30.0,oct,0930,48.8
30.0,oct,1000,43.8
30.0,oct,1030,39.5
30.0,oct,1100,36.1
30.0,oct,1130,33.9
30.0,oct,1200,33.1
30.0,nov,0400,NA
30.0,nov,0430,NA
30.0,nov,0500,NA
30.0,nov,0530,NA
30.0,nov,0600,NA
30.0,nov,0630,NA
30.0,nov,0700,84.6
30.0,nov,0730,78.4
30.0,nov,0800,72.8
30.0,nov,0830,67.1
30.0,nov,0900,62.0
30.0,nov,0930,57.0
30.0,nov,1000,53.0
30.0,nov,1030,49.3
30.0,nov,1100,46.7
30.0,nov,1130,44.9
30.0,nov,1200,44.4
30.0,dec,0400,NA
30.0,dec,0430,NA
30.0,dec,0500,NA
30.0,dec,0530,NA
30.0,dec,0600,NA
30.0,dec,0630,NA
30.0,dec,0700,88.7
30.0,dec,0730,82.8
30.0,dec,0800,77.3
30.0,dec,0830,72.2
30.0,dec,0900,67.3
30.0,dec,0930,63.0
30.0,dec,1000,59.2
30.0,dec,1030,56.0
30.0,dec,1100,53.7
30.0,dec,1130,52.2
30.0,dec,1200,51.8
40.0,jan,0400,NA
40.0,jan,0430,NA
40.0,jan,0500,NA
40.0,jan,0530,NA
40.0,jan,0600,NA
40.0,jan,0630,NA
40.0,jan,0700,NA
40.0,jan,0730,89.0
40.0,jan,0800,84.2
40.0,jan,0830,79.8
40.0,jan,0900,75.7
40.0,jan,0930,72.1
40.0,jan,1000,69.0
40.0,jan,1030,66.4
40.0,jan,1100,64.6
40.0,jan,1130,63.4
40.0,jan,1200,63.0
40.0,feb,0400,NA
40.0,feb,0430,NA
40.0,feb,0500,NA
40.0,feb,0530,NA
40.0,feb,0600,NA
40.0,feb,0630,NA
40.0,feb,0700,NA
40.0,feb,0730,84.8
40.0,feb,0800,79.8
40.0,feb,0830,75.2
40.0,feb,0900,70.7
40.0,feb,0930,67.0
40.0,feb,1000,63.5
40.0,feb,1030,60.9
40.0,feb,1100,58.8
40.0,feb,1130,57.6
40.0,feb,1200,57.2
40.0,mar,0400,NA
40.0,mar,0430,NA
40.0,mar,0500,NA
40.0,mar,0530,NA
40.0,mar,0600,NA
40.0,mar,0630,89.1
40.0,mar,0700,83.7
40.0,mar,0730,78.1
40.0,mar,0800,72.8
40.0,mar,0830,67.8
40.0,mar,0900,63.1
40.0,mar,0930,58.8
40.0,mar,1000,55.1
40.0,mar,1030,51.9
40.0,mar,1100,49.6
40.0,mar,1130,48.1
40.0,mar,1200,47.7
40.0,apr,0400,NA
40.0,apr,0430,NA
40.0,apr,0500,NA
40.0,apr,0530,NA
40.0,apr,0600,87.1
40.0,apr,0630,81.4
40.0,apr,0700,75.6
40.0,apr,0730,70.0
40.0,apr,0800,64.4
40.0,apr,0830,59.0
40.0,apr,0900,53.8
40.0,apr,0930,49.0
40.0,apr,1000,44.6
40.0,apr,1030,40.9
40.0,apr,1100,38.0
40.0,apr,1130,36.2
40.0,apr,1200,35.5
40.0,may,0400,NA
40.0,may,0430,NA
40.0,may,0500,NA
40.0,may,0530,85.9
40.0,may,0600,80.5
40.0,may,0630,74.7
40.0,may,0700,68.9
40.0,may,0730,63.2
40.0,may,0800,57.5
40.0,may,0830,51.8
40.0,may,0900,46.3
40.0,may,0930,41.0
40.0,may,1000,36.1
40.0,may,1030,31.7
40.0,may,1100,28.2
40.0,may,1130,25.8
40.0,may,1200,25.0
40.0,jun,0400,NA
40.0,jun,0430,NA
40.0,jun,0500,86.8
40.0,jun,0530,81.5
40.0,jun,0600,76.1
40.0,jun,0630,70.5
40.0,jun,0700,64.9
40.0,jun,0730,59.2
40.0,jun,0800,53.4
40.0,jun,0830,47.7
40.0,jun,0900,42.0
40.0,jun,0930,36.5
40.0,jun,1000,31.2
40.0,jun,1030,26.2
40.0,jun,1100,22.1
40.0,jun,1130,19.1
40.0,jun,1200,18.0
40.0,jul,0400,NA
40.0,jul,0430,NA
40.0,jul,0500,86.0
40.0,jul,0530,80.8
40.0,jul,0600,75.4
40.0,jul,0630,69.9
40.0,jul,0700,64.3
40.0,jul,0730,58.6
40.0,jul,0800,52.8
40.0,jul,0830,47.1
40.0,jul,0900,41.4
40.0,jul,0930,35.8
40.0,jul,1000,30.4
40.0,jul,1030,25.4
40.0,jul,1100,21.1
40.0,jul,1130,18.0
40.0,jul,1200,16.9
40.0,aug,0400,NA
40.0,aug,0430,NA
40.0,aug,0500,89.3
40.0,aug,0530,83.9
40.0,aug,0600,78.4
40.0,aug,0630,72.8
40.0,aug,0700,67.1
40.0,aug,0730,61.4
40.0,aug,0800,55.6
40.0,aug,0830,49.9
40.0,aug,0900,44.4
40.0,aug,0930,39.0
40.0,aug,1000,33.8
40.0,aug,1030,29.2
40.0,aug,1100,25.4
40.0,aug,1130,22.8
40.0,aug,1200,21.9
40.0,sep,0400,NA
40.0,sep,0430,NA
40.0,sep,0500,NA
40.0,sep,0530,NA
40.0,sep,0600,84.6
40.0,sep,0630,78.9
40.0,sep,0700,73.2
40.0,sep,0730,67.5
40.0,sep,0800,61.8
40.0,sep,0830,56.3
40.0,sep,0900,51.0
40.0,sep,0930,46.0
40.0,sep,1000,41.4
40.0,sep,1030,37.5
40.0,sep,1100,34.4
40.0,sep,1130,32.3
40.0,sep,1200,31.6
40.0,oct,0400,NA
40.0,oct,0430,NA
40.0,oct,0500,NA
40.0,oct,0530,NA
40.0,oct,0600,NA
40.0,oct,0630,86.3
40.0,oct,0700,80.6
40.0,oct,0730,75.1
40.0,oct,0800,69.7
40.0,oct,0830,64.5
40.0,oct,0900,59.6
40.0,oct,0930,55.1
40.0,oct,1000,51.2
40.0,oct,1030,47.8
40.0,oct,1100,45.3
40.0,oct,1130,43.6
40.0,oct,1200,43.1
40.0,nov,0400,NA
40.0,nov,0430,NA
40.0,nov,0500,NA
40.0,nov,0530,NA
40.0,nov,0600,NA
40.0,nov,0630,NA
40.0,nov,0700,88.1
40.0,nov,0730,82.6
40.0,nov,0800,77.8
40.0,nov,0830,72.8
40.0,nov,0900,68.6
40.0,nov,0930,64.4
40.0,nov,1000,61.1
40.0,nov,1030,58.2
40.0,nov,1100,56.1
40.0,nov,1130,54.7
40.0,nov,1200,54.5
40.0,dec,0400,NA
40.0,dec,0430,NA
40.0,dec,0500,NA
40.0,dec,0530,NA
40.0,dec,0600,NA
40.0,dec,0630,NA
40.0,dec,0700,NA
40.0,dec,0730,88.1
40.0,dec,0800,83.3
40.0,dec,0830,78.8
40.0,dec,0900,74.7
40.0,dec,0930,71.0
40.0,dec,1000,67.8
40.0,dec,1030,65.3
40.0,dec,1100,63.3
40.0,dec,1130,62.2
40.0,dec,1200,61.8
50.0,jan,0400,NA
50.0,jan,0430,NA
50.0,jan,0500,NA
50.0,jan,0530,NA
50.0,jan,0600,NA
50.0,jan,0630,NA
50.0,jan,0700,NA
50.0,jan,0730,NA
50.0,jan,0800,NA
50.0,jan,0830,86.5
50.0,jan,0900,83.2
50.0,jan,0930,80.2
50.0,jan,1000,77.7
50.0,jan,1030,75.7
50.0,jan,1100,74.2
50.0,jan,1130,73.3
50.0,jan,1200,73.0
50.0,feb,0400,NA
50.0,feb,0430,NA
50.0,feb,0500,NA
50.0,feb,0530,NA
50.0,feb,0600,NA
50.0,feb,0630,NA
50.0,feb,0700,NA
50.0,feb,0730,89.5
50.0,feb,0800,85.3
50.0,feb,0830,81.5
50.0,feb,0900,78.0
50.0,feb,0930,74.9
50.0,feb,1000,72.2
50.0,feb,1030,70.0
50.0,feb,1100,68.5
50.0,feb,1130,67.5
50.0,feb,1200,67.2
50.0,mar,0400,NA
50.0,mar,0430,NA
50.0,mar,0500,NA
50.0,mar,0530,NA
50.0,mar,0600,NA
50.0,mar,0630,NA
50.0,mar,0700,86.3
50.0,mar,0730,81.8
50.0,mar,0800,77.4
50.0,mar,0830,73.3
50.0,mar,0900,69.6
50.0,mar,0930,66.2
50.0,mar,1000,63.2
50.0,mar,1030,60.9
50.0,mar,1100,59.1
50.0,mar,1130,58.0
50.0,mar,1200,57.7
50.0,apr,0400,NA
50.0,apr,0430,NA
50.0,apr,0500,NA
50.0,apr,0530,NA
50.0,apr,0600,86.6
50.0,apr,0630,81.8
50.0,apr,0700,76.9
50.0,apr,0730,72.2
50.0,apr,0800,67.6
50.0,apr,0830,63.2
50.0,apr,0900,59.1
50.0,apr,0930,55.4
50.0,apr,1000,52.0
50.0,apr,1030,49.3
50.0,apr,1100,47.2
50.0,apr,1130,45.9
50.0,apr,1200,45.5
50.0,may,0400,NA
50.0,may,0430,NA
50.0,may,0500,87.8
50.0,may,0530,83.2
50.0,may,0600,78.5
50.0,may,0630,73.7
50.0,may,0700,68.9
50.0,may,0730,64.1
50.0,may,0800,59.4
50.0,may,0830,54.7
50.0,may,0900,50.3
50.0,may,0930,46.2
50.0,may,1000,42.5
50.0,may,1030,39.4
50.0,may,1100,37.0
50.0,may,1130,35.5
50.0,may,1200,35.0
50.0,jun,0400,NA
50.0,jun,0430,86.7
50.0,jun,0500,82.4
50.0,jun,0530,78.0
50.0,jun,0600,73.3
50.0,jun,0630,68.6
50.0,jun,0700,63.8
50.0,jun,0730,59.0
50.0,jun,0800,54.2
50.0,jun,0830,49.5
50.0,jun,0900,44.9
50.0,jun,0930,40.6
50.0,jun,1000,36.6
50.0,jun,1030,33.1
50.0,jun,1100,30.4
50.0,jun,1130,28.6
50.0,jun,1200,28.0
50.0,jul,0400,89.7
50.0,jul,0430,85.7
50.0,jul,0500,81.5
50.0,jul,0530,77.1
50.0,jul,0600,72.5
50.0,jul,0630,67.8
50.0,jul,0700,63.0
50.0,jul,0730,58.2
50.0,jul,0800,53.4
50.0,jul,0830,48.7
50.0,jul,0900,44.1
50.0,jul,0930,39.7
50.0,jul,1000,35.6
50.0,jul,1030,32.1
50.0,jul,1100,29.3
50.0,jul,1130,27.5
50.0,jul,1200,26.9
50.0,aug,0400,NA
50.0,aug,0430,89.7
50.0,aug,0500,85.4
50.0,aug,0530,80.8
50.0,aug,0600,76.2
50.0,aug,0630,71.4
50.0,aug,0700,66.6
50.0,aug,0730,61.8
50.0,aug,0800,57.0
50.0,aug,0830,52.4
50.0,aug,0900,47.9
50.0,aug,0930,43.7
50.0,aug,1000,39.9
50.0,aug,1030,36.6
50.0,aug,1100,34.1
50.0,aug,1130,32.5
50.0,aug,1200,31.9
50.0,sep,0400,NA
50.0,sep,0430,NA
50.0,sep,0500,NA
50.0,sep,0530,88.3
50.0,sep,0600,83.6
50.0,sep,0630,78.8
50.0,sep,0700,74.0
50.0,sep,0730,69.2
50.0,sep,0800,64.6
50.0,sep,0830,60.1
50.0,sep,0900,55.9
50.0,sep,0930,52.0
50.0,sep,1000,48.5
50.0,sep,1030,45.7
50.0,sep,1100,43.5
50.0,sep,1130,42.1
50.0,sep,1200,41.6
50.0,oct,0400,NA
50.0,oct,0430,NA
50.0,oct,0500,NA
50.0,oct,0530,NA
50.0,oct,0600,NA
50.0,oct,0630,87.6
50.0,oct,0700,82.8
50.0,oct,0730,78.2
50.0,oct,0800,73.8
50.0,oct,0830,69.6
50.0,oct,0900,65.7
50.0,oct,0930,62.1
50.0,oct,1000,59.1
50.0,oct,1030,56.5
50.0,oct,1100,54.7
50.0,oct,1130,53.5
50.0,oct,1200,53.1
50.0,nov,0400,NA
50.0,nov,0430,NA
50.0,nov,0500,NA
50.0,nov,0530,NA
50.0,nov,0600,NA
50.0,nov,0630,NA
50.0,nov,0700,NA
50.0,nov,0730,87.1
50.0,nov,0800,83.0
50.0,nov,0830,79.0
50.0,nov,0900,75.5
50.0,nov,0930,72.3
50.0,nov,1000,69.5
50.0,nov,1030,67.3
50.0,nov,1100,65.7
50.0,nov,1130,64.7
50.0,nov,1200,64.4
50.0,dec,0400,NA
50.0,dec,0430,NA
50.0,dec,0500,NA
50.0,dec,0530,NA
50.0,dec,0600,NA
50.0,dec,0630,NA
50.0,dec,0700,NA
50.0,dec,0730,NA
50.0,dec,0800,89.2
50.0,dec,0830,85.5
50.0,dec,0900,82.1
50.0,dec,0930,79.1
50.0,dec,1000,76.5
50.0,dec,1030,74.5
50.0,dec,1100,73.0
50.0,dec,1130,72.1
50.0,dec,1200,71.8