lang_name,no_table_data_text,sort_label_text,filter_label_text,search_placeholder_text,page_next_text,page_previous_text,page_numbers_text,page_info_text,page_size_options_text,page_next_label_text,page_previous_label_text,page_number_label_text,page_jump_label_text,page_size_options_label_text
nnh,Sɔ́ məɗə njiŋkaanə njiʼəŋ,Nji {name},Fèèn {name},Cə́nə́,Mɛsu,Kó,{page} ɗi {pages},{rowStart}\u2013{rowEnd} na {rows} mbuu,Hɛrɛ {rows},Foləmə,Kurasa ya mbele,Pɛɛji {page},Và àʼtɛ̀ʼ,Njap mɛ́náŋkɔ́ kíŋé
no,Tabellen inneholder ingen data,Sorter etter {name},Filtrer etter {name},Søk,Neste,Tidligere,{page} av {pages},{rowStart}\u2013{rowEnd} av {rows} rader,Vis {rows},Neste side,Forrige side,Side {page},Gå til side,Rader per side
nus,Table apenyo wou,Jwalie {name},Kuöc {name},Cɔ̈c,Ciniif,Lwakni,{page} ku {pages},{rowStart}\u2013{rowEnd} ti {rows} dhieth,Thok {rows},Dhiɛm kaŋ,Dɔɔŋ thok,Duɔr {page},Tuakani e palko,Makic kuɔc kɛ ca̱l
nyn,Tepililoni si haba data,Kwambata {name},Kukkiriza ebyʼ{name},Kurasa,Obulayi,Chete,{page} av {pages},{rowStart}\u2013{rowEnd} ya {rows} emirundi,Nyangize {rows},Oloolondi olukulu,Kuva kwechi,Leb {page},Ondoka kw'iyo,Endagaano za kila mpapula
om,Miidhaan waliin walitti qaban,Sira {name},Fayyadamu {name},Gara,Dura,Itoophiyaa,{page} of {pages},{rows} qabdi {rowStart}\u2013{rowEnd},Kan {rows} qabdu,Fuula dura,Fuula duraa,Fayyaa {page},Galii sa'aatiin,Kaayyoo kutaanii
or,ଟେବଲରେ କୋଣାଣ୍ଟି ତଥ୍ୟ ନାହିଁ,{name} ଅନୁସାରେ କ୍ରମବଦ୍ଧ କରନ୍ତୁ,{name} ଛାଙ୍କା,ଖୋଜିବେ,ପରବର୍ତ୍ତୀ,ପୂର୍ବବର୍ତ୍ତୀ,{page} ଅଧିକାରେ {pages}-ରୁ,{rows} ପଙ୍କ୍ତି ରେ {rowStart}\u2013{rowEnd},{rows} ଦେଖାନ୍ତୁ,ପରବର୍ତ୍ତୀ ପୃଷ୍ଠା,ପୂର୍ବବର୍ତ୍ତୀ ପୃଷ୍ଠା,ପୃଷ୍ଠା {page},ପୃଷ୍ଠାରେ ଯାଉଥିବେ,ପୃଷ୍ଠାର ପଙ୍କ୍ତି
os,Таблицæ фæстæ дæртæ нæйы,{name} æхыстæн сорттæуд,{name}-æф филтр,Хайх,Дигӕйы,Хуызгъон,{page} / {pages},{rowStart}\u2013{rowEnd} фӕстӕр {rows},Æцыг {rows},Следующæйы стæнд,Æндæрæг дивас,Страницæ {page},Беты иу,Рядтæ ӕн страницæ
pa,ਟੇਬਲ ਵਿੱਚ ਕੋਈ ਡਾਟਾ ਨਹੀਂ ਹੈ,{name} ਨੂੰ ਸਾਡੇ ਅਨੁਸਾਰ ਸੋਰਟ ਕਰੋ,{name} ਫਿਲਟਰ ਕਰੋ,ਖੋਜੋ,ਅਗਲਾ,ਪਿਛਲਾ,{page} ਦੇ {pages}-ਵਿੱਚ,{rows} ਕਤਾਰਾਂ ਵਿੱਚੋਂ {rowStart}\u2013{rowEnd},{rows} ਦਿਖਾਓ,ਅਗਲਾ ਪੇਜ,ਪਿਛਲਾ ਸਫ਼ਾ,ਸਫ਼ਾ {page},ਪੰਨੇ 'ਤੇ ਜਾਓ,ਪੰਨੇ ਵਿੱਚ ਕਤਾਰਾਂ
pcm,Tabu No Get Data,Sọt {name},Sift by {name},Find,Nẹkst,Bifọ,{page} Ọf {pages},{rowStart}\u2013{rowEnd} of {rows} ro,Sho {rows},Nẹkst pẹj,Prijos Pék,Pej {page},Gọ tọ pẹj,Row-dem per peji
pl,Brak danych w tabeli,Sortuj według {name},Filtruj według {name},Szukaj,Następny,Poprzedni,{page} z {pages},{rowStart}\u2013{rowEnd} z {rows} wierszy,Pokaż {rows},Następna strona,Poprzednia strona,Strona {page},Idź do strony,Wiersze na stronie
ps,د جدول ته معلومات نشته,{name} په ترتیب کول,{name} سیبسټ کول,لټون کول,بعدی,مخکینی,{page} د {pages},{rows} سطره {rowStart}\u2013{rowEnd},ښکاره کړئ {rows},بلندی پاڼه,مخکې پاڼه,پاڼه {page},لاسته راوړل,سطره غواړه پر پاڼه
pt,A tabela não tem dados,Ordenar por {name},Filtrar por {name},Pesquisar,Próximo,Anterior,{page} de {pages},{rowStart}\u2013{rowEnd} de {rows} linhas,Mostrar {rows},Próxima página,Página anterior,Página {page},Ir para página,Linhas por página
qu,Muk'unaqaqa lliwtaqa kani,{name}paq sipasqa,{name}-kunaq yachachiy,Rimay,Qhipa,Hinaq,{page} de {pages},{rows} qhaway {rowStart}\u2013{rowEnd},Kayna {rows},Qhipa qallariy,Ñawpa p'anqa,P'anqa {page},Pananmi kachun,Pʼanqa kani
rm,La tabella na duai datis,Surtirar secund {name},Filtrar suenter {name},Chatschar,Proxim,Precedent,{page} da {pages},{rowStart}\u2013{rowEnd} da {rows} radundas,Muss {rows} a,Proxima stad,Pagina precedenta,Page {page},Ir a la pagina,Randas per pagina
rn,Teyiburu ntibaho,Kuranga {name},Hindura kuri {name},Kugura,Kuva,Icyumweru,{page} ya {pages},{rows} muri {rowStart}\u2013{rowEnd},Raba {rows},Ibindi iheruka,Ikurasa ry'umwanya wundi,Ikiganiro {page},Haza ku wa mpapuro,Indwara zose kuri paji
ro,Tabelul nu conține date,Sortează după {name},Filtrare după {name},Căutați,Următorul,Anterior,{page} din {pages},{rowStart}\u2013{rowEnd} din {rows} rânduri,Arată {rows},Următoarea pagină,Pagina anterioară,Pagină {page},Du-te la pagină,Rânduri pe pagină
rof,Meza hauna data,Lomboleza {name},Chuja kwa {name},Lahisi,Ijumaa,Kabla,{page} ya {pages},{rows} za {rowStart}\u2013{rowEnd},Onyesha {rows},Kurasa ifuatayo,Kurasa ya nyuma,Kurasa {page},Nenda kwenye ukurasa,Nundu zose kila ukurasa
ru,В таблице нет данных,Сортировать по {name},Фильтровать по {name},Поиск,Следующий,Предыдущий,{page} из {pages},{rowStart}\u2013{rowEnd} из {rows} строк,Показать {rows},Следующая страница,Предыдущая страница,Страница {page},Перейти к странице,Строк на странице
rw,Tabeli ntibaho,Kurangiza inyandiko zifatika ku {name},Fungura hagati ya {name},Shaka,Urukundo,Uwo munsi,{page} kuri {pages},{rows} zose {rowStart}\u2013{rowEnd},Subira {rows},Ikiganiro gitandukanye,Kurasa y'umunani,Ibikoresho {page},Ohereza kuri page,Ibikoresho kuri urupapuro
rwk,Tabela haina data,Yunga {name},Wakirira {name},Kugura,Gwingo,Ibutumwa,{page} ya {pages},{rows} ya {rowStart}\u2013{rowEnd},Onesha {rows},Kurasa ifwatayo,Kurasa ya nyuma,Kurasa {page},Enda kwenye ukurasa,Mistari kila ukurasa
sa,तालिकाम् अपि अभावात्,{name} अनुसारः क्रमवर्गीकृतः,{name} छानितुं,खोज्,अग्रणी,पूर्ववत्,{page}/{pages},{rows} सूत्रेषु {rowStart}\u2013{rowEnd},{rows} दर्शय,अग्रिमपृष्ठम्,पूर्वपृष्ठम्,पृष्ठः {page},पृष्ठम् गच्छ,पङ्क्तयः पृष्ठः
sah,Хөтөлбөр иһинээҕитин көрдөрбөтө,{name} өткөрүнө өйдөө,{name} уөтүөрүнэн сүзүө,Ыраас буолуо,Аныгыскы,Алгыс,{page} - {pages} сирэйээх,{rows} сирэйэн {rowStart}\u2013{rowEnd},{rows} көрдөр,Киһи эрэ ыыта,Арах паҕта,Бет {page},Куоппуйахха тускэрэ,Баһа баһаана өтүнэр
saq,Komeza hakuna data,Panga {name},Sagia {name},Kúresa,Kesho,Ng'ama,{page} ya {pages},{rows} ya {rowStart}\u2013{rowEnd},Hiw {rows},Nquruniire kanisa,Sida hore,Kurasa {page},Kwenda kwenye ukurasa,Nondie ti kila ng'ama
sat,ᱟᱨᱤ ᱟᱨᱦᱮᱨ ᱯᱟᱹᱠᱟᱜ ᱠᱟᱹᱠᱤᱠᱞ,{name}ᱥᱟᱱᱛᱟᱲ ᱵᱮᱨᱟᱱᱤᱠᱤ,{name} ᱨᱮᱱᱤᱠᱟᱨᱤᱭᱟᱜ,ᱥᱮᱱᱮ,ᱵᱮᱵᱟ,ᱢᱩᱨᱟᱹ,{page}/{pages} এ,{rows} ᱥᱮᱨᱢ {rowStart}\u2013{rowEnd},{rows} ᱨᱮᱫᱩᱨᱟᱹ,ᱡᱟᱨ ᱜᱩᱱ ᱨᱮᱱᱟ,ᱴᱮᱴ ᱚᱱᱚᱲ,ᱥᱮᱫ {page},ᱥᱟᱹᱛᱩ ᱨᱮᱱᱟᱜ,ᱥᱮᱡᱚᱱᱤ ᱨᱮ ᱥᱟᱹᱠᱷᱟᱨᱩᱣ
sbp,Jedwali halina data,Panga {name},Henga {name},Leta,Ijayo,Kabla,{page} ya {pages},{rows} za {rowStart}\u2013{rowEnd},Onesha {rows},Kurasa inayofuata,Kurasa ya nyuma,Kurasa {page},Nenda kwenye ukurasa,Masharti kila ukurasa
sc,Taula b'at datu,Lòca in base a {name},Filtrai secunnu {name},Cercare,Prossimu,Precedenti,{page} de {pages},{rowStart}\u2013{rowEnd} de su {rows} linias,Bista {rows},Próssima pàgina,Pagina pruscedenti,Pàgina {page},Bài a sa pàgina,Lìneas prus pàgina
sd,ٽيبل کان ڊيٽا ناهي,{name} جي ترتيب ۾ رڳوڻ,{name} فلٽر ڪريو,ڳولڻ,پوءِندو,ماضي,{page} جي {pages},{rows} ٻارين ۾ سانهن {rowStart}\u2013{rowEnd},{rows} ڏسو,اڳيون صفحو,پوئين پانو,صفحو {page},صفحو تي جيڪيو,صفوف فهرست ۾
se,Tabellii lea ealáhusat,Ráđđehit {name} áigodagas,Filteerit {name} dovddu,Oza,Fuhtin,Jaunemearri,{page}. s. {pages}-dohkojuvvon,{rows} radde {rowStart}\u2013{rowEnd},Ovdamearkka {rows},Hin áiggun,Ealáhápmái siste,Searvi {page},Geahččal sivva,Riegádeapmi per saide
seh,Meza hauna data,Sotísa {name},Sunguleni {name},Tseka,Kɨlaa,Mbele,{page} a {pages},{rowStart}\u2013{rowEnd} ku {rows} nyengo,Ku hlawula {rows},Kurasa inayofuata,Kurasa ya lusuku,Kurasa {page},Kwenda kwenye ukurasa,Viti vya kila ukurasa
ses,Mezene kaa ala hoori.,Fuyɛl {name},Sise {name},Hãrãmɔy,Hunaan,Háykiima,{page} tawa {pages},{rows} gɛndɛ {rowStart}\u2013{rowEnd},Fito {rows},Kurasa tɛɛrɛw,Fasara a kofa,Kurasa {page},Yimɓe laabi-ɗi,Tɛrɛyɛ kɛɛri na saanu
sg,Tableau ti ngué ti yé.,Sɔmbɔ {name},Filtrö ti {name},Ko,Mɛ́ɛtɛ,Húndé,{page}/{pages},{rowStart}\u2013{rowEnd} na {rows} kati,Seka {rows},Folômbô ya mbɛɛ,Page précédente,Página {page},Kɔ yi págíin,Lignes par page
si,ටේබලයේ දත්ත නොමැතිවිය නොහැකි අතර වගුවක් නොමැත,{name} අනුව තෝරාගන්න,{name} පෙරහන් කරන්න,සොයන්න,ඊළඟ,පෙර,{page} සඳහා {pages},{rows} පේළියේ {rowStart}\u2013{rowEnd},{rows} පෙන්වන්න,ඊළඟ පිටුව,පෙර පිටුව,පිටුව {page},පිටුවට යන්න,පිටුවේ පේළි
sk,Tabuľka neobsahuje žiadne dáta,Zoradiť podľa {name},Filtrovať podľa {name},Hľadať,Ďalší,Predchádzajúci,{page} z {pages},{rowStart}\u2013{rowEnd} z {rows} riadkov,Zobraziť {rows},Ďalšia strana,Predchádzajúca stránka,Strana {page},Prejsť na stránku,Riadkov na stránku
sl,Tabela nima podatkov,Razvrsti po {name},Filtriraj po {name},Iskanje,Naslednji,Prejšnji,{page} od {pages},{rowStart}\u2013{rowEnd} od {rows} vrstic,Pokaži {rows},Naslednja stran,Prejšnja stran,Stran {page},Pojdi na stran,Vrstice na stran
smn,Taula eai leat datáid,Jarhut {name} jïllem,Filtteret {name} dávvir,Eŋgel,Seäʹmm,Ennen,{page}.{pages}-das,{rows} rivttes {rowStart}\u2013{rowEnd},Näytä {rows},Seuraava ođasmahttá,Enne sivâstus,Ruovttus {page},Máhttu sivulle,Ráddjat sierralas
sn,Table haina data,Rega {name},Shungurudza {name},Shosa,Kudhara,Pedyo,{page} ye {pages},{rows} dzose {rowStart}\u2013{rowEnd},Oneswa {rows},Pedyo pejhi,Kurwadze Kunenge,Peji {page},Enda kusvika pamhepo,Madziro anoita sei kunepeji
so,Maafeysiga ma jiro calaamadaha,Dhisma {name}-ka,Filtir {name},Raadi,Xiga,Hore,{page} ee {pages},{rows} safafka {rowStart}\u2013{rowEnd}aad,Muuji {rows},Bogga xiga,Bogga hore,Bogga {page},Tag boggaga,Safafka bogga
sq,Tabela nuk ka të dhëna,Rendit sipas {name},Filtro sipas {name},Kërko,Pas,I mëparshëm,{page} nga {pages},{rowStart}\u2013{rowEnd} nga {rows} rreshtat,Shfaq {rows},Faqja tjetër,Faqja e mëparshme,Faqja {page},Shko te faqja,Rreshta për faqe
sr,Табела нема података,Сортирај по {name}-у,Филтрирај по {name},Претрага,Следећи,Претходни,{page} од {pages},{rowStart}\u2013{rowEnd} од {rows} редова,Прикажи {rows},Следећа страница,Претходна страница,Страница {page},Иди на страницу,Redovi po stranici
su,Tabel henteu na data,Urutkeun ku {name},Filter ku {name},Sungsi,Susunod,Sateuacan,{page} ti {pages},{rowStart}\u2013{rowEnd} tina {rows} baris,Témbongkeun {rows},Kaca salajengna,Kaca sakitu,Kaca {page},Pikeun ka hiji kaca,Baris ti tiap kaca
sv,Tabellen har ingen data,Sortera efter {name},Filtrera efter {name},Sök,Nästa,Föregående,{page} av {pages},{rowStart}\u2013{rowEnd} av {rows} rader,Visa {rows},Nästa sida,Föregående sida,Sida {page},Gå till sida,Rader per sida
sw,Jedwali haina data yoyote,Panga kwa {name},Chuja kwa {name},Tafuta,Ifuatayo,Kabla,{page} ya {pages},{rowStart}\u2013{rowEnd} ya {rows} safuwima,Onyesha {rows},Ukurasa Ufwatao,Ukurasa uliotangulia,Ukurasa {page},Nenda kwenye ukurasa,Safu kwa kila ukurasa
ta,அட்டவசரம் தரவு இல்லை,{name} பின்வரும் வரிசையில் வைக்கவும்,{name} வடிகட்டு,தேடு,அடுத்து,முந்திய,{page}/{pages},{rows} வரிசைகளில் {rowStart}\u2013{rowEnd},{rows} காண்க,அடுத்த பக்கம்,முந்தைய பக்கம்,பக்கம் {page},பக்கத்திற்கு செல்,பக்கத்திற்கு வரிசைகள்
te,టేబుల్ లో డేటా లేదు,{name} వద్ద వర్గీకరించండి,{name} వడగడం,వెతకండి,తదుపరి,మునుపటి,{page} నుండి {pages} వరకు,{rows} వరుసలులో {rowStart}\u2013{rowEnd},{rows} చూపించు,తదుపరి పేజీ,మునుపటి పేజీ,పేజీ {page},పేజీకి వెళ్ళు,పేజీ వరుసలు
teo,Komeza hakuna data,Lakisa ng'oma {name},Chepka {name},Emeso,Kesho,Kule,{page} kare {pages},{rows} e {rowStart}\u2013{rowEnd},Show {rows},Kurasa inayofuata,Kurasa ya nyuma,Kurasa {page},Kwenda kwenye ukurasa,Emurramu ng'omurundi onekile
tg,Ҷадвали маълумот дорад,Мурвақт кардан ба {name},Филтри кардан бо {name},Ҷустуҷӯ,Пеш,Қаблӣ,{page} аз {pages},{rowStart}\u2013{rowEnd} аз {rows} сатрҳо,Намоиш диҳед {rows},Саҳифаи пеш,Саҳифаи қаблӣ,Саҳифа {page},Ба саҳифа равед,Сатҳҳо дар саҳифа
th,ตารางไม่มีข้อมูล,เรียงลำดับตาม {name},กรองตาม {name},ค้นหา,ต่อไป,ก่อนหน้า,{page}/{pages},{rowStart}\u2013{rowEnd} จากทั้งหมด {rows} แถว,แสดง {rows},หน้าถัดไป,หน้าก่อนหน้า,หน้า {page},ไปที่หน้า,แถวต่อหน้า
ti,ታቦል ምንም መረጃ አይደለም,{name} ምዝገባ ኣብ ዝሓለፈ ኣትክልት ኣይትተረፈሉ,ፊልተር {name},ፍለጋ,ቀዳሚ,ዝሓለፈ,{page} ኣብ {pages},{rows} ዝርዝር {rowStart}\u2013{rowEnd},ስምዕይት {rows},የቀጣይ ገጽ,ምልክታት ከታች,ጽሑፍ {page},ሓበሬታ ቀይሕ ምረጹ,መልእኽቲ ኣቕሓት
tk,Jadygöniň içinde maglumat ýok,{name} boýunça düzmek,{name} boýunça süz,Tap,Indiki,Öňki,{page}/{pages},{rows} sahypa {rowStart}\u2013{rowEnd},Görkez {rows},Indiki sahypa,Öňki sahypa,Bet {page},Betde geç,Sahypa başyna hil
to,Tebile 'ikai ha 'osi,Fakaʻapa ki he {name},Fakapangitā {name},Fakatata,Hoko,Fakatuʻa,{page} ʻi he {pages},{rowStart}\u2013{rowEnd} 'ofa {rows},Fakatupu {rows},ʻOku toe,ʻEtita ʻe pongipongi,ʻEtita {page},Fakatongia kihe ʻaupito,Ngaahi tefito'i fakapule'anga
tr,Tabloda veri yok,{name} Sırala,{name}'e göre süz,Ara,Sonraki,Önceki,{page}/{pages},{rows} satırların {rowStart}\u2013{rowEnd},{rows} Göster,Sonraki sayfa,Önceki sayfa,Sayfa {page},Sayfaya git,Sayfa başına satırlar
tt,Күрәк йоклаулары юк,{name} Төркемен кертү,{name} буенча сүзгеч,Эзләү,Киләүе,Алдынгы,{page}/{pages},{rows} сызлыкта {rowStart}\u2013{rowEnd},{rows} көрсәтү,Киләһе бит,Алдынгы бит,Бит {page},Биткә күчү,Бет башына керешләр
twq,Table ndi saaɗa tawɛ,Sɛƙu {name},Faltaa {name},Yɛrɛy,Jiggo,Kule,{page} n {pages},{rowStart}\u2013{rowEnd} wonande {rows} tawotore,Nya {rows},Turu lɗaaba,Fasara a kofa,Kuraas {page},Enda kwenye ukurasa,Nɛɛrɛ fettinde ɓennuɗo
tzm,ⵜⴰⴱⵍⴰ ⴰⵔⴱⴰⵍ ⵏ ⵜⴰⵍⵎⵎⵉⴽⵓⵏ ⵓⵏⴰ ⵢⵉⵙ,ⴰⴽⵉⴼⵉⵜ {name},ⴼⵉⵍⵜⵔ {name},ⵍⵉⵛⵉⵍ,ⴰⴱⴰⵍⴰ,ⴰⵙⴱⴰⵍⴰ,{page} ⵉⵏ {pages},{rowStart}\u2013{rowEnd} ⵉⵏ {rows} ⴰⵔⴰⵏ,ⵜⴰⵏⵉⵔ {rows},ⴰⴱⴰⵍⴰ ⴰⵏⴰⵎⴰⵙ,ⵜⴰⵙⵉⵏⵜ ⵜⴰⵎⴰⴱⵜ,ⵜⴰⵙⵏⴰ {page},ⴰⴷⴷⴰ ⵏ ⵜⴰⵡⵉⵍⵜ,ⴷⴰⵔⴰⵔ ⴰⴽⵓⵙ ⴰⵔⴰⵏ
ug,جەدۋەلدە ئۇچۇر يوق,{name} تەرتىپ كۆرسەت,{name} ئارقىلىق سۈزۈش,ئىزدەش,كېيىنكى,ئالدىنقى,{page}/{pages},{rows} قۇرۇلدى {rowStart}\u2013{rowEnd},{rows} كۆرسىتىش,كېيىنكى بەت,ئالدىنقى بەت,بەت {page},بەتكە كۆچ,ھەر بەتتە قۇرلار سانى
uk,У таблиці немає даних,Сортувати {name},Фільтрувати за {name},Пошук,Наступний,Попередній,{page} з {pages},{rowStart}\u2013{rowEnd} з {rows} рядків,Показати {rows},Наступна сторінка,Попередня сторінка,Сторінка {page},Перейти на сторінку,Рядків на сторінку
und,Table has no data,Sort {name},Filter {name},Search,Next,Previous,{page} of {pages},{rowStart}\u2013{rowEnd} of {rows} rows,Show {rows},Next page,Previous page,Page {page},Go to page,Rows per page
ur,خانہ کوئی ڈیٹا نہیں ہے,{name} کو ترتیب دینا,{name} کے مطابق فلٹر کریں,تلاش کریں,اگلا,پچھلا,{page} کا {pages},{rowStart}\u2013{rowEnd} کی {rows} قطاریں,{rows} دکھائیں,اگلا صفحہ,پچھلا صفحہ,صفحہ {page},صفحہ پر جائیں,صفوف فی صفحہ
uz,Jadvallikda ma'lumot yo'q,{name} Tartiblang,{name} bo'yicha filtrlash,Qidirish,Keyingi,Oldingi,{page}/{pages},{rows} qatorlarda {rowStart}\u2013{rowEnd},{rows} ko'rsatish,Keyingi sahifa,Oldingi sahifa,Sahifa {page},Sahifaga o'tish,Sahifaga qatorlar soni
vai,ꕉꕜ ꕶꕱꕆꕌ ꕮꕊꕯꕆ ꔻꕆ ꕢꕴꔹꕆ,ꔀꔤ {name} ꔨ ꕆꕇꕪ,ꖆꕬ ꗂꔭ {name},ꕤꕞꕢ,ꕢꘋꕤꔫꔰ,ꕚꘋꕤꔫꔰ,{page} ꔫ {pages} ꕆꕇꕪ,{rows} ꔭꕞꔤ ꕉꔤ {rowStart}\u2013{rowEnd},ꕉꘈ {rows},ꕙꔤ ꔫ ꕮꕊꕚ ꕉꕜ,ꕭꔻꕚ ꖨꕮ ꕘꖺꕯ,ꔫꕩꘉ {page},ꕉꔱ ꔞ ꖨꕮ ꔞꔀꕮ,ꔞꔀꖬ ꔳ ꕉꔓꔸ ꖨ ꖏꖇ
vi,Bảng không có dữ liệu,Sắp xếp {name},Lọc theo {name},Tìm kiếm,Tiếp theo,Trước đó,{page} trên {pages},{rowStart}\u2013{rowEnd} trong số {rows} hàng,Hiển thị {rows},Trang kế tiếp,Trang trước,Trang {page},Đi đến trang,Số hàng trên mỗi trang
vun,Meza hauna data,Kwiritsu {name},Chuja kwa {name},Tafuta,Ombwɔ́ɔl,Kabla,{page} kati ya {pages},{rows} vya {rowStart}\u2013{rowEnd},Onyesha {rows},Kurasa ifuatayo,Kurasa ya nyuma,Kurasa {page},Nenda kwenye ukurasa,Mistari kila ukurasa
wae,Täfelä han kei Daten,{name} Sortiera,{name}-nå z'filtere,Suecha,Nächscht,Vuroh,{page}/{pages},{rowStart}\u2013{rowEnd} vu {rows} Liena,{rows} weisä,Nächscht Blat,Vorigi Sita,Sita {page},Gó zur Sita,Rindar pro Sita
wo,Tabal yi am nañu defar,Taxawal {name},Sàmm {name},Wut,Buum,Ci anteriyër,{page}/{pages},{rows} ci {rowStart}\u2013{rowEnd},Wone {rows},Xët wergoo,Xët wu laaj,Xët {page},Yaa ju ndigal,Randu ci topp
xh,Iteybheli ayinakho okanye akukho data,Susa {name},Chapula ngokwanele {name},Fowunela,Okulandelayo,Eyodwa,{page} kwi {pages},{rowStart}\u2013{rowEnd} ye {rows} zilawula,Bonisa {rows},Ikhasi elilandelayo,Iqela elilandelayo,Ikhara {page},Hamba ekuseni,Amabhuloho ngamaxesha
xog,Tebuluune haana data,Londa {name},Komya nga {name},Yagala,Kale,Hore,{page} ku {pages},{rows} ze {rowStart}\u2013{rowEnd},Ku muuqdaa {rows},Bogga ku xeeran,Bogga hore,Olupapula {page},Kuba ku lusuku,Obwerere bulaaya
yav,Bʋ maa kɩtɩm sɛnɛɛ bʋ tɔɔlu,Yɛ {name} bɔ dɩ sɔr,Ndaa {name},Hɛmɛ,Ngek,Kɨrɨəm,{page} / {pages},{rowStart}\u2013{rowEnd} mənəə {rows},Ku nɔŋɔ {rows},Kuɓɛɛ nɛɛsɛɛ,Kurasa ya nyuma,Poo {page},Kwenda kwenye ukurasa,Gwɛ̌ pɛ́nɛ́ kɛ́ sɔ̀ɔ́
yi,טייבל האט קיין דאטן,זארטירן {name},פילטערן דורך {name},זוכן,נעכטער,פּריוועקט,{page} פון {pages},{rows} רגעלעך {rowStart}\u2013{rowEnd},ווייזן {rows},נעכטער בלאט,פאריקער בלאט,בלאט {page},גיי צו בלאט,רייהן אויף זייט
yo,Tabili kò lè ṣe dátà,Pese {name},Sii niwaju {name},Ṣe àwọn,Nípa kọọ̀kan,Nlá,{page} fun {pages},{rows} ni {rowStart}\u2013{rowEnd},Fún {rows},Ogo aṣẹda,Ìgbà ẹlẹwẹ,Pẹlu {page},Lo si ọna,Awọn ireti nipasẹ oju-iwe
yrl,Table has no data,Pirape {name},{name} reko,Nhɨmɨ,Arra,Zua,{page} de {pages},{rows} yandu {rowStart}\u2013{rowEnd},Show {rows},Folozһa ьуьгӀэ,Fasara a kofa,Kurasa {page},Mwoyo kwa yina,Pira'i porãmokõi ojepota
yue,表冇數據,排序 {name},過濾 {name},搵,下一個,上個,{page} / {pages},{rowStart}\u2013{rowEnd} 行，總共有 {rows} 行,顯示 {rows},下一頁,上一頁,頁 {page},去頁,每頁行數
zgh,ⵜⴰⴱⵍⴰ ⴰⵔⴱⴰⵍ ⵏ ⵜⴰⵍⵎⵎⵉⴽⵓⵏ,ⴰⴽⵉⴼⵉⵜ {name},ⴰⴼⵍⵜⵉⵔ {name},ⵙⴰⵄⴰⵢ,ⴰⵎⴰⵣⵉⵖ,ⵜⴰⵏⵜⴰⵙⵏⵜ,{page} / {pages},{rowStart}\u2013{rowEnd} ⵜⴰⴷⴷⴰⵏⵜ {rows} ⴰⵔⵏⴳⴰⵏ,ⵜⴰⵏⴻⵔ {rows},ⴰⵙⴳⴰⵙ ⵜⴰⵍⵉⵍⵜ,ⵜⴰⵙⵉⵏⵜ ⵜⴰⵎⴰⴱⵜ,ⵜⴰⵙⵏⴰ {page},ⴰⴷⴷⴰ ⵏ ⵜⴰⵡⵉⵍⵜ,ⵉⴼⵔⴰⴱⵉⵏ ⵓⴷ ⴰⵔⵜⴰⵙ
zh,表格没有数据,排序 {name},按{name} 过滤,搜索,下一个,以前,{page}/{pages},共 {rows} 行，第 {rowStart}\u2013{rowEnd} 行,显示 {rows},下一页,上一页,页码 {page},转到页面,每页行数
zu,Akukho data engekho kwezitolo,Hlela {name},Chapula ngokwesibonelo {name},Sesha,Okulandelela,Ngaphambi,{page} kwa {pages},{rows} kwezifundiswa {rowStart}\u2013{rowEnd},Bonisa {rows},Ikhasi elilandelayo,Iphepha elifushane,Ikheli {page},Hamba ekuseni,Izinketho zemigqa ngaphezu kwepeji