name,coordinates,website,status,csd_type,census_div,land_area_km,population_1996,population_2001,population_2006,population_2011,population_2016,population_2021,density_1996,density_2001,density_2006,density_2011,density_2016,density_2021,pop_change_1996_2001_pct,pop_change_2001_2006_pct,pop_change_2006_2011_pct,pop_change_2011_2016_pct,pop_change_2016_2021_pct
East Ferris,"46.266667, -79.3",https://eastferris.ca,single-tier,municipality,Nipissing,151.94,4139,4291,4228,4766,4862,4946,27.24,28.24,27.83,31.37,32.00,32.55,0.0367,-0.0147,0.1272,0.0201,0.0173
East Garafraxa,"43.85, -80.25",https://www.eastgarafraxa.ca,lower-tier,township,Dufferin,166.50,2084,2214,2389,2595,2579,2794,12.52,13.30,14.35,15.59,15.49,16.78,0.0624,0.0790,0.0862,-0.0062,0.0834
East Gwillimbury,"44.133333, -79.416667",https://www.eastgwillimbury.ca,lower-tier,town,York,244.91,19770,20555,21069,22473,23991,34637,80.72,83.93,86.03,91.76,97.96,141.43,0.0397,0.0250,0.0666,0.0675,0.4437
East Hawkesbury,"45.5039, -74.5",https://www.easthawkesbury.ca,lower-tier,township,Prescott and Russell,235.06,3296,3415,3368,3335,3296,3418,14.02,14.53,14.33,14.19,14.02,14.54,0.0361,-0.0138,-0.0098,-0.0117,0.0370
East Zorra-Tavistock,"43.233333, -80.783333",https://www.ezt.ca,lower-tier,township,Oxford,241.96,7348,7238,7008,6836,7113,7841,30.37,29.91,28.96,28.25,29.40,32.41,-0.0150,-0.0318,-0.0245,0.0405,0.1023
Edwardsburgh/Cardinal,"44.833333, -75.5",https://www.twpec.ca,lower-tier,township,Leeds and Grenville,309.91,6715,6674,6689,6959,7074,7505,21.67,21.54,21.58,22.45,22.83,24.22,-0.0061,0.0022,0.0404,0.0165,0.0609
Elizabethtown-Kitley,"44.7, -75.883333",https://ektwp.ca,lower-tier,township,Leeds and Grenville,555.96,10222,10039,10201,9724,9631,9545,18.39,18.06,18.35,17.49,17.32,17.17,-0.0179,0.0161,-0.0468,-0.0096,-0.0089
Elliot Lake,"46.383333, -82.65",https://www.elliotlake.ca,single-tier,city,Algoma,696.06,13588,11956,11549,11348,10741,11372,19.52,17.18,16.59,16.30,15.43,16.34,-0.1201,-0.0340,-0.0174,-0.0535,0.0587
Emo,"48.633333, -93.833333",https://emo.ca,single-tier,township,Rainy River,202.28,1366,1331,1305,1252,1333,1204,6.75,6.58,6.45,6.19,6.59,5.95,-0.0256,-0.0195,-0.0406,0.0647,-0.0968
Englehart,"47.816667, -79.866667",https://www.englehart.ca,single-tier,town,Timiskaming,2.92,1703,1595,1494,1519,1479,1442,583.22,546.23,511.64,520.21,506.51,493.84,-0.0634,-0.0633,0.0167,-0.0263,-0.0250
Enniskillen,"42.816667, -82.125",https://www.enniskillen.ca,lower-tier,township,Lambton,338.05,3288,3259,3122,2930,2796,2825,9.73,9.64,9.24,8.67,8.27,8.36,-0.0088,-0.0420,-0.0615,-0.0457,0.0104
Erin,"43.766667, -80.066667",https://www.erin.ca,lower-tier,town,Wellington,298.81,10657,10657,11148,10770,11439,11981,35.66,35.66,37.31,36.04,38.28,40.10,0.0000,0.0461,-0.0339,0.0621,0.0474
Espanola,"46.25, -81.766667",https://www.espanola.ca,single-tier,town,Sudbury,81.00,5454,5449,5314,5364,5048,5185,67.33,67.27,65.60,66.22,62.32,64.01,-0.0009,-0.0248,0.0094,-0.0589,0.0271
Essa,"44.25, -79.783333",https://www.essatownship.on.ca,lower-tier,township,Simcoe,279.92,16363,16808,16901,18505,21083,22970,58.46,60.05,60.38,66.11,75.32,82.06,0.0272,0.0055,0.0949,0.1393,0.0895
Essex,"42.083333, -82.9",https://www.essex.ca,lower-tier,town,Essex,277.53,19437,20085,20032,19600,20427,21216,70.04,72.37,72.18,70.62,73.60,76.45,0.0333,-0.0026,-0.0216,0.0422,0.0386
Evanturel,"47.7833, -79.825",https://evanturel.com,single-tier,township,Timiskaming,89.21,493,506,473,452,449,502,5.53,5.67,5.30,5.07,5.03,5.63,0.0264,-0.0652,-0.0444,-0.0066,0.1180
Faraday,"45, -77.916667",https://www.faraday.ca,lower-tier,township,Hastings,217.44,1638,1581,1578,1468,1401,1612,7.53,7.27,7.26,6.75,6.44,7.41,-0.0348,-0.0019,-0.0697,-0.0456,0.1506
Fauquier-Strickland,"49.276389, -82.037222",https://www.fauquierstrickland.com,single-tier,township,Cochrane,1010.45,684,678,568,530,536,467,0.68,0.67,0.56,0.52,0.53,0.46,-0.0088,-0.1622,-0.0669,0.0113,-0.1287
Fort Erie,"42.916667, -79.016667",http://www.forterie.ca,lower-tier,town,Niagara,166.24,27183,28143,29925,29960,30710,32901,163.52,169.29,180.01,180.22,184.73,197.91,0.0353,0.0633,0.0012,0.0250,0.0713
Fort Frances,"48.616667, -93.4",https://fort-frances.com,single-tier,town,Rainy River,25.55,8790,8315,8103,7952,7739,7466,344.03,325.44,317.14,311.23,302.90,292.21,-0.0540,-0.0255,-0.0186,-0.0268,-0.0353
French River,"46.166667, -80.5",https://www.frenchriver.ca,single-tier,municipality,Sudbury,717.91,2847,2810,2659,2442,2662,2828,3.97,3.91,3.70,3.40,3.71,3.94,-0.0130,-0.0537,-0.0816,0.0901,0.0624
Front of Yonge,"44.533333, -75.866667",https://mallorytown.ca,lower-tier,township,Leeds and Grenville,125.25,2530,2639,2803,2752,2602,2595,20.20,21.07,22.38,21.97,20.77,20.72,0.0431,0.0621,-0.0182,-0.0545,-0.0027
Frontenac Islands,"44.2, -76.383333",https://www.frontenacislands.ca,lower-tier,township,Frontenac,176.82,1661,1638,1862,1864,1760,1930,9.39,9.26,10.53,10.54,9.95,10.92,-0.0138,0.1368,0.0011,-0.0558,0.0966
Gananoque,"44.33, -76.17",https://www.gananoque.ca,single-tier,town,Leeds and Grenville,7.01,5219,5167,5285,5194,5159,5383,744.51,737.09,753.92,740.94,735.95,767.90,-0.0100,0.0228,-0.0172,-0.0067,0.0434
Gauthier,"48.1458, -79.8225",,single-tier,township,Timiskaming,87.98,152,128,133,123,138,151,1.73,1.45,1.51,1.40,1.57,1.72,-0.1579,0.0391,-0.0752,0.1220,0.0942
Georgian Bay,"44.983333, -79.816667",https://www.gbtownship.ca,lower-tier,township,Muskoka,525.29,2230,1991,2340,2482,2514,3441,4.25,3.79,4.45,4.73,4.79,6.55,-0.1072,0.1753,0.0607,0.0129,0.3687
Georgian Bluffs,"44.65, -81.033333",http://www.georgianbluffs.on.ca,lower-tier,township,Grey,599.96,10256,10152,10506,10404,10479,11100,17.09,16.92,17.51,17.34,17.47,18.50,-0.0101,0.0349,-0.0097,0.0072,0.0593
Georgina,"44.3, -79.433333",https://www.georgina.ca,lower-tier,town,York,287.69,34777,39263,42346,43517,45418,47642,120.88,136.48,147.19,151.26,157.87,165.60,0.1290,0.0785,0.0277,0.0437,0.0490
Gillies,"48.266667, -89.7",https://www.gilliestownship.com,single-tier,township,Thunder Bay,92.68,497,522,544,473,474,441,5.36,5.63,5.87,5.10,5.11,4.76,0.0503,0.0421,-0.1305,0.0021,-0.0696
Goderich,"43.733333, -81.7",https://www.goderich.ca,lower-tier,town,Huron,8.54,7553,7604,7563,7526,7628,7881,884.43,890.40,885.60,881.26,893.21,922.83,0.0068,-0.0054,-0.0049,0.0136,0.0332
Gordon/Barrie Island,"45.9, -82.633333",http://gordonbarrieisland.ca,single-tier,municipality,Manitoulin,263.44,530,523,459,526,490,613,2.01,1.99,1.74,2.00,1.86,2.33,-0.0132,-0.1224,0.1460,-0.0684,0.2510
Gore Bay,"45.916667, -82.466667",http://www.gorebay.ca,single-tier,town,Manitoulin,5.14,907,898,924,850,867,808,176.46,174.71,179.77,165.37,168.68,157.20,-0.0099,0.0290,-0.0801,0.0200,-0.0681
Grand Valley,"43.95, -80.366667",https://www.townofgrandvalley.ca,lower-tier,town,Dufferin,158.60,2773,2842,2844,2726,2956,3851,17.48,17.92,17.93,17.19,18.64,24.28,0.0249,0.0007,-0.0415,0.0844,0.3028
Gravenhurst,"44.916667, -79.366667",https://www.gravenhurst.ca,lower-tier,town,Muskoka,489.11,10030,10899,11046,12055,12311,13157,20.51,22.28,22.58,24.65,25.17,26.90,0.0866,0.0135,0.0913,0.0212,0.0687
Greater Madawaska,"45.272222, -76.858889",https://www.greatermadawaska.com,lower-tier,township,Renfrew,1018.15,2033,2290,2751,2485,2518,2864,2.00,2.25,2.70,2.44,2.47,2.81,0.1264,0.2013,-0.0967,0.0133,0.1374
Greater Napanee,"44.25, -76.95",https://www.greaternapanee.com,lower-tier,town,Lennox and Addington,462.30,14944,15132,15400,15511,15892,16879,32.33,32.73,33.31,33.55,34.38,36.51,0.0126,0.0177,0.0072,0.0246,0.0621
Greater Sudbury,"46.577778, -81.069444",https://www.greatersudbury.ca,single-tier,city,Greater Sudbury,3186.26,165336,155219,157857,160274,161531,166004,51.89,48.72,49.54,50.30,50.70,52.10,-0.0612,0.0170,0.0153,0.0078,0.0277
Greenstone,"49.725194, -86.951389",https://www.greenstone.ca,single-tier,municipality,Thunder Bay,2727.04,6530,5901,4886,4724,4636,4309,2.39,2.16,1.79,1.73,1.70,1.58,-0.0963,-0.1720,-0.0332,-0.0186,-0.0705
Grey Highlands,"44.333333, -80.5",https://www.greyhighlands.ca,lower-tier,municipality,Grey,879.03,8620,9196,9480,9520,9804,10424,9.81,10.46,10.78,10.83,11.15,11.86,0.0668,0.0309,0.0042,0.0298,0.0632
Grimsby,"43.2, -79.55",https://www.grimsby.ca,lower-tier,town,Niagara,68.71,19585,21297,23937,25325,27314,28883,285.04,309.95,348.38,368.58,397.53,420.36,0.0874,0.1240,0.0580,0.0785,0.0574
Guelph,"43.535833, -80.228889",https://guelph.ca,single-tier,city,Wellington,87.43,95821,106170,114943,121688,131794,143740,1095.97,1214.34,1314.69,1391.83,1507.42,1644.06,0.1080,0.0826,0.0587,0.0830,0.0906
Guelph/Eramosa,"43.63, -80.22",https://www.get.on.ca,lower-tier,township,Wellington,292.84,10176,11174,12066,12380,12854,13904,34.75,38.16,41.20,42.28,43.89,47.48,0.0981,0.0798,0.0260,0.0383,0.0817
Haldimand,"42.933333, -79.883333",https://www.haldimandcounty.ca,single-tier,city,Haldimand-Norfolk,1250.45,42041,43728,45212,44876,45608,49216,33.62,34.97,36.16,35.89,36.47,39.36,0.0401,0.0339,-0.0074,0.0163,0.0791
Halton Hills,"43.626944, -79.951389",https://www.haltonhills.ca,lower-tier,town,Halton,276.81,42390,48184,55289,59013,61161,62951,153.14,174.07,199.74,213.19,220.95,227.42,0.1367,0.1475,0.0674,0.0364,0.0293
Hamilton,"44.05, -78.216667",https://www.hamiltontownship.ca,lower-tier,township,Northumberland,256.03,10140,10785,10972,10702,10942,11059,39.60,42.12,42.85,41.80,42.74,43.19,0.0636,0.0173,-0.0246,0.0224,0.0107
Hamilton,"43.256667, -79.869167",https://www.hamilton.ca,single-tier,city,Hamilton,1118.31,467799,490268,504559,519949,536917,569353,418.31,438.40,451.18,464.94,480.11,509.12,0.0480,0.0291,0.0305,0.0326,0.0604
Hanover,"44.15, -81.033333",https://www.hanover.ca,lower-tier,town,Grey,9.78,6844,6869,7147,7490,7688,7967,699.80,702.35,730.78,765.85,786.09,814.62,0.0037,0.0405,0.0480,0.0264,0.0363
Harley,"47.62, -79.7",http://harley.ca,single-tier,township,Timiskaming,92.34,608,557,551,539,551,524,6.58,6.03,5.97,5.84,5.97,5.67,-0.0839,-0.0108,-0.0218,0.0223,-0.0490
Harris,"47.566667, -79.566667",https://harristownship.weebly.com,single-tier,township,Timiskaming,49.81,553,518,512,523,545,530,11.10,10.40,10.28,10.50,10.94,10.64,-0.0633,-0.0116,0.0215,0.0421,-0.0275
Hastings Highlands,"45.233333, -77.933333",https://hastingshighlands.ca,lower-tier,municipality,Hastings,966.58,3829,3992,4033,4168,4078,4385,3.96,4.13,4.17,4.31,4.22,4.54,0.0426,0.0103,0.0335,-0.0216,0.0753
Havelock-Belmont-Methuen,"44.566667, -77.9",https://www.hbmtwp.ca,lower-tier,township,Peterborough,529.35,4327,4479,4637,4523,4530,5083,8.17,8.46,8.76,8.54,8.56,9.60,0.0351,0.0353,-0.0246,0.0015,0.1221
Hawkesbury,"45.6083, -74.6017",https://www.hawkesbury.ca,lower-tier,town,Prescott and Russell,10.10,10162,10314,10869,10551,10263,10194,1006.14,1021.19,1076.14,1044.65,1016.14,1009.31,0.0150,0.0538,-0.0293,-0.0273,-0.0067
"Head, Clara and Maria","46.166667, -78",https://www.townshipsofheadclaramaria.ca,lower-tier,township,Renfrew,719.20,294,228,228,235,248,267,0.41,0.32,0.32,0.33,0.34,0.37,-0.2245,0.0000,0.0307,0.0553,0.0766
Hearst,"49.686944, -83.654444",http://www.hearst.ca,single-tier,town,Cochrane,98.06,6049,5825,5620,5090,5070,4794,61.69,59.40,57.31,51.91,51.70,48.89,-0.0370,-0.0352,-0.0943,-0.0039,-0.0544
Highlands East,"44.966667, -78.25",https://www.highlandseast.ca,lower-tier,municipality,Haliburton,688.18,2918,3022,3089,3249,3343,3830,4.24,4.39,4.49,4.72,4.86,5.57,0.0356,0.0222,0.0518,0.0289,0.1457
Hilliard,"47.725, -79.7",https://townshipofhilliard.ca,single-tier,township,Timiskaming,91.27,253,241,222,204,207,215,2.77,2.64,2.43,2.24,2.27,2.36,-0.0474,-0.0788,-0.0811,0.0147,0.0386
Hilton,"46.216667, -83.883333",https://www.hiltontownship.ca,single-tier,township,Algoma,114.77,255,258,172,261,307,382,2.22,2.25,1.50,2.27,2.67,3.33,0.0118,-0.3333,0.5174,0.1762,0.2443
Hilton Beach,"46.25, -83.883333",https://hiltonbeach.com,single-tier,village,Algoma,2.52,213,174,243,145,171,198,84.52,69.05,96.43,57.54,67.86,78.57,-0.1831,0.3966,-0.4033,0.1793,0.1579
Hornepayne,"49.216667, -84.783333",https://www.townshipofhornepayne.ca,single-tier,township,Algoma,203.04,1480,1362,1209,1050,980,968,7.29,6.71,5.95,5.17,4.83,4.77,-0.0797,-0.1123,-0.1315,-0.0667,-0.0122
Horton,"45.5, -76.666667",https://www.hortontownship.ca,lower-tier,township,Renfrew,158.02,2515,2567,2803,2719,2887,3182,15.92,16.24,17.74,17.21,18.27,20.14,0.0207,0.0919,-0.0300,0.0618,0.1022
Howick,"43.9, -81.07",http://www.town.howick.on.ca,lower-tier,township,Huron,286.55,3685,3779,3882,3856,3873,4045,12.86,13.19,13.55,13.46,13.52,14.12,0.0255,0.0273,-0.0067,0.0044,0.0444
Hudson,"47.5372, -79.8242",http://hudson.ca,single-tier,township,Timiskaming,90.28,501,490,455,476,503,530,5.55,5.43,5.04,5.27,5.57,5.87,-0.0220,-0.0714,0.0462,0.0567,0.0537
Huntsville,"45.333333, -79.216667",http://www.town.huntsville.on.ca,lower-tier,town,Muskoka,705.18,15918,17338,18280,19056,19816,21147,22.57,24.59,25.92,27.02,28.10,29.99,0.0892,0.0543,0.0425,0.0399,0.0672
Huron East,"43.63, -81.28",https://www.huroneast.com,lower-tier,municipality,Huron,669.15,9937,9680,9310,9264,9138,9512,14.85,14.47,13.91,13.84,13.66,14.22,-0.0259,-0.0382,-0.0049,-0.0136,0.0409
Huron Shores,"46.283333, -83.2",https://huronshores.ca,single-tier,municipality,Algoma,451.87,1877,1794,1696,1723,1664,1860,4.15,3.97,3.75,3.81,3.68,4.12,-0.0442,-0.0546,0.0159,-0.0342,0.1178
Huron-Kinloss,"44.05, -81.533333",https://www.huronkinloss.com,lower-tier,township,Bruce,440.73,6284,6224,6515,6790,7069,7723,14.26,14.12,14.78,15.41,16.04,17.52,-0.0095,0.0468,0.0422,0.0411,0.0925
Ignace,"49.416667, -91.666667",https://www.ignace.ca,single-tier,township,Kenora,72.13,1782,1709,1431,1202,1202,1206,24.71,23.69,19.84,16.66,16.66,16.72,-0.0410,-0.1627,-0.1600,0.0000,0.0033
Ingersoll,"43.039167, -80.883611",https://www.ingersoll.ca,lower-tier,town,Oxford,12.73,10502,10977,11760,12146,12757,13693,824.98,862.29,923.80,954.12,1002.12,1075.65,0.0452,0.0713,0.0328,0.0503,0.0734
Innisfil,"44.3, -79.583333",https://innisfil.ca,lower-tier,town,Simcoe,262.39,24711,28666,31175,32727,36566,43326,94.18,109.25,118.81,124.73,139.36,165.12,0.1601,0.0875,0.0498,0.1173,0.1849
Iroquois Falls,"48.766667, -80.666667",https://www.iroquoisfalls.com,single-tier,town,Cochrane,599.03,5714,5217,4729,4595,4537,4418,9.54,8.71,7.89,7.67,7.57,7.38,-0.0870,-0.0935,-0.0283,-0.0126,-0.0262
James,"47.710556, -80.339444",http://www.elklake.ca,single-tier,township,Timiskaming,85.40,483,467,414,424,420,348,5.66,5.47,4.85,4.96,4.92,4.07,-0.0331,-0.1135,0.0242,-0.0094,-0.1714
Jocelyn,"46.183333, -83.966667",http://jocelyntownship.com,single-tier,township,Algoma,130.43,294,298,277,237,313,314,2.25,2.28,2.12,1.82,2.40,2.41,0.0136,-0.0705,-0.1444,0.3207,0.0032
Johnson,"46.333333, -83.933333",https://johnsontownship.ca,single-tier,township,Algoma,119.47,729,658,701,750,751,749,6.10,5.51,5.87,6.28,6.29,6.27,-0.0974,0.0653,0.0699,0.0013,-0.0027
Joly,"45.783333, -79.25",https://townshipofjoly.com,single-tier,township,Parry Sound,193.95,311,290,280,284,304,293,1.60,1.50,1.44,1.46,1.57,1.51,-0.0675,-0.0345,0.0143,0.0704,-0.0362
Kapuskasing,"49.416667, -82.433333",http://www.kapuskasing.ca,single-tier,town,Cochrane,83.98,10036,9238,8509,8196,8292,8057,119.50,110.00,101.32,97.59,98.74,95.94,-0.0795,-0.0789,-0.0368,0.0117,-0.0283
Kawartha Lakes,"44.35, -78.75",https://www.kawarthalakes.ca,single-tier,city,Kawartha Lakes,3033.66,67926,69179,74561,73219,75423,79247,22.39,22.80,24.58,24.14,24.86,26.12,0.0184,0.0778,-0.0180,0.0301,0.0507
Kearney,"45.6, -79.116667",https://townofkearney.ca,single-tier,town,Parry Sound,528.21,837,773,798,841,882,974,1.58,1.46,1.51,1.59,1.67,1.84,-0.0765,0.0323,0.0539,0.0488,0.1043
Kenora,"49.766667, -94.483333",https://www.kenora.ca,single-tier,city,Kenora,211.65,10063,15838,15177,15348,15096,14967,47.55,74.83,71.71,72.52,71.33,70.72,0.5739,-0.0417,0.0113,-0.0164,-0.0085
Kerns,"47.6083, -79.8",http://kerns.ca,single-tier,township,Timiskaming,90.66,400,360,325,359,358,330,4.41,3.97,3.58,3.96,3.95,3.64,-0.1000,-0.0972,0.1046,-0.0028,-0.0782
"Killaloe, Hagarty and Richards","45.6, -77.5",https://www.killaloe-hagarty-richards.ca,lower-tier,township,Renfrew,391.60,2347,2492,2550,2402,2420,2410,5.99,6.36,6.51,6.13,6.18,6.15,0.0618,0.0233,-0.0580,0.0075,-0.0041
Killarney,"45.983333, -81.516667",http://www.municipalityofkillarney.ca,single-tier,municipality,Sudbury,1469.40,738,428,459,505,386,397,0.50,0.29,0.31,0.34,0.26,0.27,-0.4201,0.0724,0.1002,-0.2356,0.0285
Kincardine,"44.166667, -81.633333",http://www.kincardine.net,lower-tier,municipality,Bruce,537.80,11908,11029,11173,11174,11389,12268,22.14,20.51,20.78,20.78,21.18,22.81,-0.0738,0.0131,0.0001,0.0192,0.0772
King,"44.0463, -79.6044",https://www.king.ca,lower-tier,township,York,332.12,16573,18533,19487,19899,24512,27333,49.90,55.80,58.67,59.92,73.80,82.30,0.1183,0.0515,0.0211,0.2318,0.1151
Kingston,"44.234722, -76.510833",https://www.cityofkingston.ca,single-tier,city,Frontenac,451.58,112605,114195,117207,123363,123798,132485,249.36,252.88,259.55,273.18,274.14,293.38,0.0141,0.0264,0.0525,0.0035,0.0702
Kingsville,"42.1, -82.716667",https://www.kingsville.ca,lower-tier,town,Essex,246.08,18409,19619,20908,21362,21552,22119,74.81,79.73,84.96,86.81,87.58,89.89,0.0657,0.0657,0.0217,0.0089,0.0263
Kirkland Lake,"48.15, -80.033333",https://www.kirklandlake.ca,single-tier,town,Timiskaming,261.29,9905,8616,8248,8493,7981,7750,37.91,32.97,31.57,32.50,30.54,29.66,-0.1301,-0.0427,0.0297,-0.0603,-0.0289
Kitchener,"43.418611, -80.472778",https://www.kitchener.ca,lower-tier,city,Waterloo,136.81,178420,190399,204668,219153,233222,256885,1304.14,1391.70,1496.00,1601.88,1704.71,1877.68,0.0671,0.0749,0.0708,0.0642,0.1015
La Vallee,"48.616667, -93.65",https://lavallee.ca,single-tier,township,Rainy River,237.12,1130,1073,1067,988,938,788,4.77,4.53,4.50,4.17,3.96,3.32,-0.0504,-0.0056,-0.0740,-0.0506,-0.1599
Laird,"46.383333, -84.066667",https://lairdtownship.ca,single-tier,township,Algoma,103.25,1073,1021,1078,1057,1047,1121,10.39,9.89,10.44,10.24,10.14,10.86,-0.0485,0.0558,-0.0195,-0.0095,0.0707
Lake of Bays,"45.3075, -79.006389",https://www.lakeofbays.on.ca,lower-tier,township,Muskoka,667.43,2850,2900,3570,3476,3167,3759,4.27,4.35,5.35,5.21,4.75,5.63,0.0175,0.2310,-0.0263,-0.0889,0.1869
Lake of the Woods,"49, -94.383333",https://www.lakeofthewoods.ca,single-tier,township,Rainy River,746.24,432,330,323,296,230,308,0.58,0.44,0.43,0.40,0.31,0.41,-0.2361,-0.0212,-0.0836,-0.2230,0.3391
Lakeshore,"42.25, -82.683333",https://www.lakeshore.ca,lower-tier,town,Essex,529.00,26127,28746,33245,34546,36611,40410,49.39,54.34,62.84,65.30,69.21,76.39,0.1002,0.1565,0.0391,0.0598,0.1038
Lambton Shores,"43.183333, -81.9",https://www.lambtonshores.ca,lower-tier,municipality,Lambton,330.57,10874,10571,11150,10656,10631,11876,32.89,31.98,33.73,32.24,32.16,35.93,-0.0279,0.0548,-0.0443,-0.0023,0.1171
Lanark Highlands,"45.088, -76.517",https://www.lanarkhighlands.ca,lower-tier,township,Lanark,1031.52,4629,4795,5180,5128,5338,5737,4.49,4.65,5.02,4.97,5.17,5.56,0.0359,0.0803,-0.0100,0.0410,0.0747
Larder Lake,"48.1, -79.7167",https://larderlake.ca,single-tier,township,Timiskaming,227.62,982,790,735,684,730,745,4.31,3.47,3.23,3.01,3.21,3.27,-0.1955,-0.0696,-0.0694,0.0673,0.0205
LaSalle,"42.216667, -83.066667",https://www.lasalle.ca,lower-tier,town,Essex,64.96,20566,25285,27652,28643,30180,32721,316.59,389.24,425.68,440.93,464.59,503.71,0.2295,0.0936,0.0358,0.0537,0.0842
Latchford,"47.328889, -79.810278",https://www.latchford.ca,single-tier,town,Timiskaming,152.26,338,363,390,387,313,355,2.22,2.38,2.56,2.54,2.06,2.33,0.0740,0.0744,-0.0077,-0.1912,0.1342
Laurentian Hills,"46.133333, -77.55",https://www.laurentianhills.ca,lower-tier,town,Renfrew,634.31,2784,2750,2789,2811,2961,2885,4.39,4.34,4.40,4.43,4.67,4.55,-0.0122,0.0142,0.0079,0.0534,-0.0257
Laurentian Valley,"45.768056, -77.223889",https://www.lvtownship.ca,lower-tier,township,Renfrew,539.08,8978,8733,9265,9657,9387,9450,16.65,16.20,17.19,17.91,17.41,17.53,-0.0273,0.0609,0.0423,-0.0280,0.0067
Leamington,"42.066667, -82.583333",https://www.leamington.ca,lower-tier,municipality,Essex,261.24,25389,27138,28833,28403,27595,29680,97.19,103.88,110.37,108.72,105.63,113.61,0.0689,0.0625,-0.0149,-0.0284,0.0756
Leeds and the Thousand Islands,"44.486667, -76.0925",https://www.leeds1000islands.ca,lower-tier,township,Leeds and Grenville,608.09,9175,9069,9435,9277,9465,9804,15.09,14.91,15.52,15.26,15.57,16.12,-0.0116,0.0404,-0.0167,0.0203,0.0358
Limerick,"44.9, -77.666667",https://limerick.ca,lower-tier,township,Hastings,201.04,396,362,364,352,346,436,1.97,1.80,1.81,1.75,1.72,2.17,-0.0859,0.0055,-0.0330,-0.0170,0.2601
Lincoln,"43.1528, -79.4183",https://lincoln.ca,lower-tier,town,Niagara,162.74,18801,20612,21722,22487,23787,25719,115.53,126.66,133.48,138.18,146.17,158.04,0.0963,0.0539,0.0352,0.0578,0.0812
London,"42.9675, -81.2325",https://london.ca,single-tier,city,Middlesex,420.50,325699,336359,352395,366151,383822,422324,774.55,799.90,838.04,870.75,912.78,1004.34,0.0327,0.0477,0.0390,0.0483,0.1003
